,[GRAPH_TOKEN],[NULL_TOKEN],Kdn(ID:0),Gal(ID:1),GlcNAc(ID:2),Neu5Ac(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),Neu5Ac(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),AllNAc(ID:11),Man(ID:12),Man(ID:13),GlcNAc(ID:14),Fuc(ID:15),GlcNAc(ID:16),a2-3(0->1),b1-4(1->2),b1-2(2->6),a2-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->13),a2-3(7->8),b1-4(8->9),b1-2(9->12),b1-4(10->11),b1-6(11->12),a1-6(12->13),b1-4(13->14),b1-4(14->16),a1-6(15->16)
[GRAPH_TOKEN],0.032944027,0.03319923,0.021603214,0.039821442,0.031981416,0.029546848,0.040999256,0.03031448,0.021537293,0.02936837,0.03922517,0.032593336,0.03682787,0.029912513,0.023242775,0.023571141,0.021422945,0.033074293,0.023684625,0.028644793,0.025210753,0.02444049,0.029845199,0.02423039,0.028542196,0.0320898,0.024356164,0.023675801,0.024269566,0.03291387,0.04118467,0.023099333,0.016470479,0.015855122,0.030301142
[NULL_TOKEN],0.032984372,0.033236682,0.02154607,0.03967004,0.032685235,0.029604817,0.04082655,0.031160478,0.02120667,0.029339116,0.0390357,0.033367295,0.037457816,0.029989429,0.023017282,0.023227196,0.021789912,0.033318795,0.023965374,0.029007286,0.025308765,0.024047654,0.030267056,0.02427927,0.028309932,0.031665683,0.024601225,0.023799444,0.024095092,0.033052176,0.039197274,0.022657637,0.01632113,0.015783913,0.030177634
Kdn(ID:0),0.024382282,0.024046954,0.035971124,0.03549925,0.02672161,0.058595825,0.03439329,0.024307884,0.010839395,0.057201177,0.034712873,0.026278744,0.052059498,0.020935457,0.01056075,0.009627831,0.020708025,0.019360311,0.021704609,0.061008155,0.026262885,0.015041029,0.057342857,0.026616676,0.023830276,0.013506313,0.055775225,0.024138115,0.015767194,0.03167589,0.034632888,0.010723017,0.017745495,0.019864714,0.0181624
Gal(ID:1),0.023232257,0.023332488,0.016907012,0.04679409,0.04336618,0.019105457,0.0493007,0.04788726,0.016662775,0.017034512,0.044207703,0.045904044,0.044455707,0.029343404,0.017178899,0.019203879,0.034153387,0.019544102,0.02857898,0.032763902,0.029790338,0.019199982,0.039867282,0.03515419,0.034748793,0.022793837,0.025729531,0.0303195,0.016187795,0.03064222,0.032632835,0.014739741,0.021186996,0.01503474,0.013015481
GlcNAc(ID:2),0.026819564,0.02725776,0.025273426,0.04038214,0.013161009,0.02132924,0.04066142,0.015254456,0.02787636,0.022956876,0.04181551,0.013072797,0.02495445,0.014673155,0.03293467,0.031737722,0.013678935,0.02807259,0.014780404,0.016708951,0.018611245,0.029841967,0.018269105,0.021140495,0.056232803,0.037406236,0.013842251,0.016868245,0.043281727,0.020995084,0.14183912,0.034642436,0.012549072,0.0106951,0.030383669
Neu5Ac(ID:3),0.019554805,0.019686611,0.03962279,0.041433617,0.022537218,0.053101417,0.041569285,0.022288863,0.008278682,0.052332036,0.04069965,0.022219118,0.056092784,0.019937966,0.009019386,0.0076361275,0.017518116,0.020125035,0.017452847,0.06600997,0.022038389,0.01492443,0.06644724,0.022666784,0.034766845,0.014428109,0.05392925,0.01955285,0.02066525,0.036567897,0.040002357,0.010432655,0.013719941,0.014498125,0.018243553
Gal(ID:4),0.022999838,0.023143066,0.017444516,0.047646485,0.04203152,0.017021716,0.05043852,0.047979474,0.017154025,0.015245032,0.045319676,0.044896066,0.04425836,0.029630702,0.018232286,0.019732324,0.03405539,0.020313758,0.027527452,0.03150626,0.028978793,0.019606695,0.03897292,0.034352887,0.0352628,0.025011614,0.024739377,0.028807066,0.016931381,0.029410165,0.034429777,0.015539473,0.02271137,0.015867446,0.0128017925
GlcNAc(ID:5),0.03175262,0.03208403,0.022093236,0.040400498,0.01538103,0.020743238,0.04147131,0.018816773,0.036781672,0.02195326,0.041994303,0.01713866,0.02561813,0.016577423,0.040163748,0.042296045,0.020194504,0.032167844,0.021036468,0.01772666,0.018637074,0.030381663,0.017488878,0.022360377,0.055683292,0.038583297,0.015600756,0.016367365,0.03728056,0.019089578,0.075380236,0.03850127,0.018732678,0.01367877,0.025842741
Man(ID:6),0.037949767,0.038887363,0.013641056,0.02481698,0.028096195,0.011059334,0.024996769,0.028922657,0.05583489,0.01078966,0.02458439,0.027349824,0.021059029,0.01822279,0.04732258,0.051524542,0.031411316,0.02025373,0.034666415,0.012470644,0.01554004,0.04074301,0.012511442,0.015790885,0.060687203,0.055626545,0.01321711,0.016025983,0.05175071,0.0131061785,0.025213838,0.044177026,0.03199924,0.026214227,0.013536653
Neu5Ac(ID:7),0.020522192,0.020554531,0.039954673,0.037863724,0.023634836,0.056944408,0.03771547,0.023159431,0.008697104,0.056468584,0.037250288,0.02307345,0.052504007,0.0204948,0.009246978,0.007911917,0.018669657,0.02004532,0.01877399,0.067678496,0.020991227,0.014155231,0.06646371,0.021501651,0.03272542,0.015062477,0.056055315,0.01883324,0.019884108,0.034062076,0.038832754,0.010538494,0.014453662,0.015234591,0.02004222
