,[GRAPH_TOKEN],[NULL_TOKEN],Kdn(ID:0),Gal(ID:1),GlcNAc(ID:2),Neu5Ac(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),Neu5Ac(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),AllNAc(ID:11),Man(ID:12),Man(ID:13),GlcNAc(ID:14),Fuc(ID:15),GlcNAc(ID:16),a2-3(0->1),b1-4(1->2),b1-2(2->6),a2-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->13),a2-3(7->8),b1-4(8->9),b1-2(9->12),b1-4(10->11),b1-6(11->12),a1-6(12->13),b1-4(13->14),b1-4(14->16),a1-6(15->16)
[GRAPH_TOKEN],0.029013425,0.029722258,0.028977005,0.028628414,0.028936561,0.02889406,0.029125698,0.029099718,0.030233633,0.029165352,0.028346084,0.028835641,0.028260775,0.029515643,0.029084811,0.029615559,0.029071402,0.028242808,0.029195156,0.027655318,0.028070748,0.027969755,0.028088603,0.028248604,0.028099187,0.028379166,0.02797018,0.027791433,0.027792137,0.027991738,0.02807277,0.02791968,0.028129674,0.027998477,0.027858512
[NULL_TOKEN],0.028946888,0.029338758,0.028734885,0.028587691,0.028688602,0.028859619,0.028969176,0.028980054,0.029941076,0.029013174,0.028049741,0.028801635,0.028148176,0.029466454,0.02886878,0.02946735,0.02903537,0.028132781,0.028908797,0.027930077,0.028290961,0.028036725,0.028379558,0.028445465,0.02834001,0.02847509,0.0281884,0.027988905,0.027889801,0.028148834,0.02833213,0.028083155,0.028367985,0.028186344,0.027977563
Kdn(ID:0),0.028876776,0.029638069,0.028980695,0.028869007,0.028764429,0.028698005,0.029245853,0.029105157,0.030037703,0.02880786,0.02816787,0.028695721,0.028378319,0.029692395,0.02915463,0.029463343,0.028953811,0.028388783,0.02891074,0.027870225,0.028172072,0.027903868,0.02819898,0.028478995,0.028124847,0.028381553,0.027948508,0.027842969,0.027800772,0.0280591,0.028375063,0.027991625,0.028183766,0.027992733,0.027845776
Gal(ID:1),0.028741263,0.02941475,0.028801829,0.0287586,0.028807737,0.028839478,0.029050257,0.029324405,0.030415833,0.028777301,0.028206054,0.028941764,0.028248653,0.029666077,0.02903604,0.029386934,0.029283315,0.02799411,0.029433386,0.02779068,0.02818837,0.027857846,0.028267005,0.028309442,0.028244087,0.028322669,0.027967308,0.027883306,0.027775116,0.028088517,0.02822434,0.027844708,0.028220732,0.028086903,0.027801186
GlcNAc(ID:2),0.028894298,0.029542964,0.029010316,0.028617255,0.028885987,0.028788121,0.028944358,0.029210478,0.030125411,0.028853763,0.028183494,0.028887264,0.028203186,0.02966639,0.028959664,0.029375078,0.029118035,0.028261907,0.02923574,0.027921498,0.028063508,0.028017713,0.02826823,0.028313145,0.028138615,0.028363653,0.028010264,0.027885891,0.027872246,0.028022101,0.028254539,0.027933624,0.028145842,0.028076446,0.027948977
Neu5Ac(ID:3),0.028744604,0.029329907,0.028791897,0.028733708,0.029056787,0.028818168,0.028974827,0.029218316,0.030043043,0.028857552,0.028137514,0.028986007,0.02821458,0.029601611,0.028811319,0.029328898,0.029100902,0.02834618,0.029108228,0.027849067,0.028259069,0.02811346,0.028211681,0.028413245,0.028205454,0.028372224,0.027990945,0.027920365,0.027966078,0.028074438,0.02825295,0.027962366,0.02821624,0.028076632,0.027911726
Gal(ID:4),0.028782155,0.029544726,0.028798614,0.028706405,0.028691135,0.028855177,0.029107185,0.029203152,0.030304674,0.028752303,0.028118806,0.028837128,0.028296364,0.029599562,0.028915094,0.029579584,0.02904217,0.028040387,0.029142259,0.027932376,0.028176513,0.027883988,0.028459452,0.028372739,0.028237712,0.028439377,0.028038843,0.027932359,0.027780212,0.028094266,0.028263638,0.027862372,0.028263405,0.028061057,0.027884811
GlcNAc(ID:5),0.028884878,0.02936277,0.028934935,0.028543849,0.02889179,0.02881685,0.028983101,0.029229006,0.03013881,0.028809039,0.028129036,0.02886176,0.028246086,0.029744696,0.029018171,0.029453214,0.029153755,0.028218219,0.029188538,0.027853515,0.028182745,0.027912248,0.028230816,0.028394893,0.028197724,0.028354477,0.027945077,0.027947832,0.027799677,0.028101075,0.028222146,0.027960416,0.028229017,0.028134428,0.027925394
Man(ID:6),0.029020999,0.029541112,0.028862925,0.028944636,0.028680539,0.028827347,0.029042654,0.02901762,0.030193847,0.028627407,0.028172944,0.028457578,0.028175293,0.029922098,0.029086825,0.029404972,0.0291955,0.027880639,0.02885295,0.027986659,0.028266434,0.028076794,0.028245803,0.02840795,0.028276723,0.028430844,0.027994469,0.027867844,0.027904948,0.028085094,0.028297454,0.028001474,0.028318338,0.028111244,0.027820047
Neu5Ac(ID:7),0.028954573,0.02944687,0.028822333,0.028660461,0.02886007,0.02887243,0.029047625,0.029277943,0.030054217,0.028821588,0.028100975,0.02889362,0.028119795,0.029737078,0.028913843,0.0294758,0.029221062,0.028229553,0.029172657,0.027860094,0.028183019,0.027915362,0.028348507,0.028394576,0.028145019,0.028325152,0.027995558,0.027848521,0.027872784,0.02799189,0.028315542,0.027925182,0.028206887,0.028097311,0.02789209
Gal(ID:8),0.028578615,0.029299838,0.028874662,0.028983481,0.028925937,0.028845197,0.029199084,0.029229214,0.030339228,0.028939117,0.028383538,0.028900154,0.028407726,0.029808413,0.029048018,0.029395375,0.02943524,0.028056048,0.029335193,0.027853608,0.028061505,0.027943535,0.02821756,0.028186921,0.0281201,0.028305836,0.02793004,0.027787007,0.02777632,0.027934289,0.028263045,0.027834583,0.028148644,0.027937444,0.027715508
GlcNAc(ID:9),0.028896205,0.029506266,0.028891735,0.02875451,0.028793314,0.028804535,0.029019628,0.029212654,0.030151442,0.02880285,0.028302897,0.02877617,0.028273426,0.029692989,0.029060416,0.029384425,0.02909855,0.028288435,0.029050961,0.027872693,0.028143082,0.02794332,0.028247558,0.028351387,0.028178357,0.028417185,0.028023712,0.027918782,0.027800757,0.028072873,0.028321402,0.027938038,0.028152447,0.028005298,0.027851677
Gal(ID:10),0.028767014,0.029480062,0.02882736,0.028804965,0.028909178,0.028956031,0.029181086,0.02924313,0.030184088,0.028909426,0.02829149,0.0288404,0.028309654,0.029588634,0.028922737,0.029430518,0.029216422,0.02809903,0.029330155,0.027798396,0.028162185,0.027909704,0.028235879,0.02829571,0.028156094,0.028374821,0.02798181,0.02780574,0.027817888,0.028021377,0.028287549,0.02789866,0.028177286,0.028014962,0.027770562
AllNAc(ID:11),0.028927967,0.029619545,0.029004842,0.02869286,0.028784089,0.028650956,0.029130045,0.029010383,0.030143164,0.028780341,0.028064039,0.028644921,0.028006583,0.029994152,0.028968813,0.029356632,0.028991684,0.028193388,0.029224942,0.027879762,0.028226364,0.028014053,0.02826671,0.028436232,0.028179124,0.028414581,0.028032731,0.027905324,0.027829133,0.028058432,0.028279513,0.027999312,0.028171984,0.028155113,0.027962297
Man(ID:12),0.028529765,0.029527921,0.028686484,0.02875653,0.028726934,0.028845463,0.02890982,0.029199738,0.030064274,0.028607007,0.028116867,0.02867873,0.028025601,0.02979965,0.028968178,0.029438417,0.029132718,0.028017594,0.029174708,0.02792243,0.028287299,0.028146474,0.028325353,0.02842474,0.028340442,0.028439272,0.028077783,0.027978467,0.02796182,0.02815954,0.028397383,0.027994432,0.028319709,0.028147366,0.0278711
Man(ID:13),0.028888997,0.029419446,0.028822172,0.02892894,0.028797697,0.028714355,0.029167127,0.029052371,0.030289792,0.028712096,0.028166965,0.028866101,0.028184708,0.029896678,0.028962852,0.02942834,0.0290963,0.028161196,0.02915148,0.027809963,0.028211882,0.028050732,0.02813791,0.028376723,0.028232375,0.028395899,0.027886108,0.027900098,0.027903907,0.02809228,0.028311856,0.027853556,0.028238913,0.028072398,0.027817775
GlcNAc(ID:14),0.028808676,0.029639123,0.02896833,0.028707922,0.028826058,0.028787892,0.029010229,0.029196866,0.03018018,0.028808095,0.028219996,0.02873071,0.0281552,0.02963841,0.028957138,0.029402837,0.029087868,0.028372336,0.029129373,0.027928775,0.028170714,0.027948141,0.028275903,0.028411672,0.028153222,0.028330661,0.028060447,0.027890202,0.027764374,0.028045569,0.028271008,0.027913358,0.028209452,0.028062623,0.027936649
Fuc(ID:15),0.028880343,0.02933071,0.028848875,0.028893864,0.028771734,0.028733782,0.02916924,0.029207248,0.03027251,0.02876452,0.028108425,0.028784793,0.028272452,0.029672582,0.029226255,0.029497836,0.029154053,0.028151117,0.029199652,0.027813923,0.028174274,0.028013237,0.028243192,0.028349252,0.028233672,0.028380139,0.027912278,0.027848199,0.027809637,0.028050832,0.028266918,0.027997106,0.028178278,0.028023195,0.0277659
GlcNAc(ID:16),0.028714612,0.029519487,0.028921403,0.028547548,0.028868254,0.028853687,0.028989598,0.029208716,0.03012638,0.028891139,0.028005317,0.028799765,0.028185511,0.02988899,0.02896933,0.029411487,0.029178888,0.028245501,0.029201623,0.027952598,0.028160445,0.027910268,0.028311595,0.028372383,0.028136835,0.028340824,0.028033625,0.02787102,0.027823837,0.028111074,0.028319012,0.027929291,0.028230442,0.028053612,0.027915888
a2-3(0->1),0.02894869,0.02945222,0.028869238,0.02876744,0.02885276,0.028866787,0.029118296,0.02916198,0.030040596,0.028830789,0.02821113,0.028831773,0.028287467,0.029787933,0.028927742,0.029403713,0.02910057,0.028249307,0.029093698,0.027841631,0.028163787,0.0279111,0.028243236,0.028387383,0.02818167,0.028390605,0.027972516,0.027870655,0.027787345,0.028097546,0.02828313,0.027930394,0.028219135,0.028050382,0.027867349
b1-4(1->2),0.028736828,0.029316008,0.028826686,0.028681295,0.028995695,0.028827641,0.029110959,0.029150207,0.030134227,0.02880171,0.028188797,0.028964058,0.02821853,0.029720817,0.028848613,0.029357744,0.029121844,0.028302446,0.029264107,0.027814671,0.02818161,0.027980158,0.028289922,0.028346132,0.028190676,0.02844407,0.028000593,0.027876485,0.027858024,0.028064657,0.028332436,0.027930629,0.028161893,0.028068922,0.027890898
b1-2(2->6),0.029010596,0.029448997,0.02892302,0.028788462,0.02899399,0.028913625,0.029251965,0.02919451,0.0300941,0.028908834,0.028296722,0.028841313,0.028253218,0.029812701,0.02893286,0.029263264,0.02908107,0.028323635,0.029138267,0.027832706,0.028070757,0.02800355,0.028183116,0.028347403,0.028112708,0.028361972,0.027949855,0.027825708,0.027765663,0.027983028,0.028215006,0.027957678,0.028120907,0.027947843,0.027850952
a2-3(3->4),0.028880619,0.029435385,0.02876509,0.028738508,0.028911643,0.028765474,0.029053582,0.029114565,0.030088903,0.028797053,0.02810171,0.028847866,0.028254492,0.02977887,0.028923284,0.029428352,0.029057667,0.028242067,0.02906776,0.027842555,0.028218828,0.027987164,0.02825772,0.028412018,0.028215164,0.028452499,0.028003532,0.027900906,0.027832361,0.028126728,0.02832345,0.027948348,0.028246023,0.028071836,0.02790799
b1-4(4->5),0.028860394,0.029387243,0.028851658,0.02863994,0.028951855,0.028855763,0.029131234,0.02917068,0.030071484,0.028760955,0.02815348,0.028967075,0.028206758,0.029675843,0.028823774,0.029360268,0.029059794,0.028280653,0.029149197,0.027847866,0.028193556,0.02796635,0.02830949,0.02839082,0.028224893,0.028441805,0.027992643,0.027926462,0.027827248,0.02806276,0.028299034,0.027974896,0.028202083,0.028072748,0.027909294
b1-4(5->6),0.028853197,0.02931459,0.0288769,0.028687647,0.02894653,0.0289063,0.029169664,0.029129697,0.030046634,0.028841607,0.02825497,0.028845936,0.028225197,0.029758818,0.028894551,0.029397715,0.029064326,0.028284036,0.029160239,0.027840048,0.028171774,0.027961072,0.028274164,0.028368909,0.02816851,0.028441098,0.027986838,0.027884452,0.027805299,0.028071487,0.028293774,0.027987758,0.028177343,0.028043944,0.027864983
a1-3(6->13),0.028921487,0.029402748,0.028861336,0.028912742,0.028923815,0.028919837,0.029280897,0.029092476,0.030239504,0.02877574,0.028213464,0.028936755,0.028334906,0.029990647,0.028998123,0.029507194,0.02911131,0.028183032,0.029119024,0.02776637,0.02813474,0.027885357,0.028168775,0.028337987,0.028130217,0.028331503,0.027855694,0.027830465,0.027759213,0.028049178,0.028224355,0.027840946,0.028179092,0.028017066,0.027764006
a2-3(7->8),0.02888071,0.029386712,0.028793938,0.028832432,0.02892706,0.028818745,0.029157914,0.029175896,0.030121116,0.028899264,0.028161561,0.028916521,0.028209453,0.029875187,0.028889487,0.029380653,0.029182838,0.028250497,0.029217701,0.027833905,0.028141078,0.027953984,0.028230317,0.028347407,0.028174803,0.02835336,0.027958905,0.02782588,0.02779646,0.028024388,0.02831149,0.02791366,0.028186249,0.028012475,0.027857961
b1-4(8->9),0.028748443,0.029307576,0.028865531,0.02877939,0.028948074,0.028840639,0.02915855,0.029109692,0.030167125,0.028798139,0.028341155,0.028872339,0.02827749,0.029768042,0.028974012,0.029431634,0.029057425,0.028291084,0.029107954,0.027837416,0.028141655,0.027982779,0.028258977,0.028320728,0.028158631,0.028473575,0.027996158,0.027883446,0.0278254,0.028029142,0.028340742,0.027950663,0.02814933,0.027986519,0.02782055
b1-2(9->12),0.028822612,0.029399686,0.028834768,0.028778667,0.02893274,0.028937431,0.029222474,0.029228967,0.0301231,0.028816547,0.028279556,0.02885475,0.028268661,0.029835217,0.028966255,0.029303897,0.029133003,0.028345842,0.02914207,0.027763596,0.028147113,0.027937114,0.028221484,0.028364658,0.028165761,0.028382024,0.027933603,0.027865648,0.027750151,0.028068166,0.02828318,0.027929556,0.028150864,0.027982378,0.027828459
b1-4(10->11),0.02872631,0.029374767,0.028904196,0.02877007,0.029037599,0.028833581,0.029189061,0.029092621,0.030130565,0.028865507,0.028274473,0.02887143,0.02824094,0.029793624,0.028878398,0.029380895,0.02904952,0.028255302,0.029176636,0.027833235,0.028169125,0.027984513,0.02824616,0.028335676,0.028144462,0.028460875,0.028001644,0.027853243,0.027822293,0.028042983,0.028312411,0.02795059,0.028147973,0.028014075,0.02783526
