,[GRAPH_TOKEN],[NULL_TOKEN],Kdn(ID:0),Gal(ID:1),GlcNAc(ID:2),Neu5Ac(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),Neu5Ac(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),AllNAc(ID:11),Man(ID:12),Man(ID:13),GlcNAc(ID:14),Fuc(ID:15),GlcNAc(ID:16),a2-3(0->1),b1-4(1->2),b1-2(2->6),a2-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->13),a2-3(7->8),b1-4(8->9),b1-2(9->12),b1-4(10->11),b1-6(11->12),a1-6(12->13),b1-4(13->14),b1-4(14->16),a1-6(15->16)
[GRAPH_TOKEN],0.015905166,0.015934797,0.069522895,0.014640323,0.022135232,0.01732559,0.020294538,0.022381324,0.017435681,0.022706643,0.013699116,0.020352121,0.034256365,0.024376165,0.01613856,0.01513825,0.016131591,0.0127989855,0.027663415,0.010324394,0.017237127,0.10906428,0.012025148,0.022216337,0.06623932,0.020604048,0.011003712,0.018474385,0.04545511,0.018018281,0.09816999,0.01616212,0.018494913,0.045083378,0.05259072
[NULL_TOKEN],0.015003343,0.014983721,0.072349876,0.015123545,0.021947797,0.01578086,0.02025224,0.021754365,0.017126244,0.021469487,0.014335568,0.020954542,0.03470529,0.024250502,0.015884269,0.015476714,0.016312558,0.011613716,0.028060265,0.009299459,0.016439678,0.117898025,0.010887568,0.022095004,0.058657926,0.020115849,0.009932949,0.01853223,0.04618632,0.017853696,0.10181148,0.015904067,0.018132746,0.046157323,0.05271077
Kdn(ID:0),0.043360192,0.04423437,0.06843236,0.025309857,0.03458257,0.043958638,0.024035666,0.027816774,0.017570423,0.040970538,0.025831986,0.03005677,0.028789809,0.02655735,0.018947419,0.019896723,0.020480609,0.033614863,0.019872757,0.013249455,0.037375484,0.022970673,0.01363881,0.031496163,0.04040692,0.022132348,0.013329694,0.030313699,0.024040643,0.021878013,0.04419081,0.020112917,0.027577389,0.023481308,0.01948601
Gal(ID:1),0.02481974,0.023651013,0.042206258,0.0072838566,0.028914511,0.014934106,0.0076504517,0.023774128,0.017854512,0.022248698,0.007470226,0.027746463,0.014375344,0.024028659,0.018543797,0.02527751,0.018306524,0.008557617,0.022554016,0.008035448,0.018506626,0.13670988,0.010303573,0.026722455,0.046524107,0.010285713,0.008544376,0.027155552,0.041281383,0.021364972,0.14865161,0.008686472,0.0289243,0.04296209,0.035144027
GlcNAc(ID:2),0.012774153,0.015118763,0.020191148,0.028064752,0.013211453,0.009617384,0.032939967,0.012662233,0.016937893,0.007911495,0.027655967,0.020869091,0.029543646,0.044386826,0.014309803,0.014231697,0.013112636,0.017584238,0.014054188,0.03567843,0.008664269,0.077759586,0.045680687,0.010021411,0.025745418,0.019494418,0.035071246,0.014777198,0.042847294,0.013552159,0.21699709,0.015474198,0.013466941,0.031924427,0.027667917
Neu5Ac(ID:3),0.03255762,0.032863345,0.056847118,0.015530238,0.024439443,0.023547612,0.01740355,0.022728095,0.016611062,0.02778596,0.015140539,0.024040572,0.02218868,0.032217238,0.016744332,0.017040296,0.018018667,0.023670755,0.019470766,0.009478418,0.027298138,0.06345694,0.0114285145,0.024307638,0.08235639,0.02327362,0.010139968,0.022441631,0.030963833,0.020493291,0.10738418,0.019490926,0.02335873,0.034364574,0.030917294
Gal(ID:4),0.023693357,0.021975439,0.04320305,0.008163766,0.026296418,0.016053917,0.008694417,0.021724688,0.018287785,0.023398776,0.008319286,0.024304302,0.014963874,0.02094346,0.018736048,0.024811246,0.017278567,0.007392862,0.022397432,0.009530898,0.016392317,0.14758559,0.012701893,0.024611035,0.04167734,0.010912358,0.010194677,0.023442596,0.049095623,0.018805357,0.14626145,0.00893081,0.029311657,0.041434504,0.038473196
GlcNAc(ID:5),0.013121439,0.012788551,0.02657103,0.024998374,0.018930836,0.014252266,0.02939157,0.015439073,0.0188986,0.016661808,0.023606595,0.02044246,0.027695201,0.032950364,0.017472504,0.022399167,0.0184891,0.010225372,0.0220045,0.03775992,0.009941813,0.09071637,0.049621243,0.0072828257,0.051497772,0.017160933,0.03678752,0.010237355,0.05134806,0.010752051,0.15514281,0.016294865,0.015478214,0.023879647,0.02975981
Man(ID:6),0.017625818,0.017436733,0.030912861,0.010483913,0.020119304,0.011913073,0.010656068,0.020646758,0.01620731,0.014618527,0.010360683,0.019135656,0.022983087,0.025569206,0.019900244,0.014584881,0.027590573,0.023155656,0.02162409,0.014081032,0.011526485,0.13618605,0.017140554,0.013856791,0.04308315,0.020663437,0.015143905,0.012664776,0.08685575,0.018875735,0.1417011,0.015691077,0.019745851,0.03481405,0.04244583
Neu5Ac(ID:7),0.028025806,0.028241388,0.051401805,0.015175521,0.022554146,0.026636483,0.0169913,0.023625763,0.02418838,0.029026544,0.01475145,0.023737486,0.021974236,0.03338171,0.024360145,0.023164492,0.019104956,0.024180084,0.021463038,0.01290185,0.025828633,0.046766236,0.01578941,0.023777805,0.08808589,0.026598612,0.01323819,0.0201291,0.031733163,0.019134348,0.090581276,0.022668162,0.023826893,0.038064376,0.028891327
Gal(ID:8),0.025471821,0.024123771,0.043802787,0.007496817,0.028658545,0.015480646,0.0077656657,0.023103878,0.017786983,0.02278596,0.0077231964,0.027975334,0.014645801,0.02400044,0.01804417,0.024370003,0.01806654,0.009427642,0.02248137,0.007987538,0.018920772,0.13419123,0.010490629,0.02604137,0.047881924,0.0100811925,0.00857464,0.028893389,0.038448945,0.022520313,0.14636365,0.0085664755,0.028513905,0.04318868,0.036123976
