,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
[GRAPH_TOKEN],0.02384976,0.024106748,0.024178477,0.024226578,0.024115726,0.02417329,0.024061985,0.024232674,0.02412704,0.024068687,0.02412386,0.024193626,0.024146652,0.024249753,0.02408031,0.024214389,0.024185982,0.024103438,0.024171349,0.02418437,0.024154762,0.024160333,0.02471551,0.024826039,0.024530705,0.02457184,0.024775669,0.02472035,0.024624305,0.024790095,0.02456022,0.024645876,0.024806706,0.025041748,0.024723647,0.024686217,0.02478663,0.02423603,0.024377272,0.02492208,0.024549289
[NULL_TOKEN],0.023850206,0.024087232,0.02414173,0.024202168,0.02409954,0.024157826,0.02403092,0.024217041,0.024106245,0.02405547,0.024098221,0.024183681,0.024117995,0.024226284,0.02405631,0.024215782,0.024194013,0.024097316,0.024167035,0.024173837,0.024141213,0.02416854,0.024690539,0.024803631,0.024542239,0.024608104,0.024762243,0.024731394,0.024645438,0.024811195,0.024573702,0.024645643,0.024819631,0.025051996,0.024776284,0.024742834,0.02485624,0.024259333,0.024386212,0.024936942,0.02456778
Gal(ID:0),0.023825228,0.024077727,0.024155915,0.02420941,0.024099056,0.02418188,0.024057519,0.024226783,0.024127916,0.024069142,0.024123969,0.024194345,0.024142837,0.024232078,0.024070844,0.024209503,0.024191402,0.024111988,0.024171231,0.02418085,0.024145719,0.024170287,0.024673877,0.024801977,0.02452739,0.024605531,0.024752896,0.024723195,0.024648713,0.024799755,0.024574457,0.0246515,0.024820758,0.025036214,0.024749596,0.024701891,0.024825092,0.024265602,0.024376916,0.024929833,0.024559164
Fuc(ID:1),0.023826757,0.024093902,0.024150893,0.024211152,0.024102386,0.02417572,0.024056023,0.024224002,0.02412,0.024067713,0.024120595,0.02418933,0.024132885,0.024223756,0.024067782,0.024211533,0.02418582,0.0241017,0.024167724,0.024177574,0.024156073,0.02416751,0.024686616,0.02481345,0.02453668,0.024604972,0.024772624,0.024721023,0.024643851,0.024799928,0.024570975,0.024653519,0.024813198,0.02503781,0.02474315,0.024697391,0.024827797,0.024259372,0.024389915,0.02492663,0.024570284
GlcNAc(ID:2),0.023833366,0.024087958,0.024155675,0.024224922,0.024107873,0.024172058,0.024059653,0.024229923,0.024123508,0.024069242,0.02412641,0.024193767,0.02413217,0.024236113,0.02407326,0.024221335,0.024186853,0.024111774,0.024163393,0.024182573,0.024158092,0.02417549,0.0246933,0.024822108,0.02453194,0.024592401,0.024774687,0.024712414,0.024630561,0.02477603,0.024571994,0.024634248,0.02481144,0.025050253,0.024746427,0.024706852,0.024823267,0.024241284,0.024381379,0.024920253,0.02455375
Gal(ID:3),0.023828588,0.024069788,0.024153467,0.024212748,0.024108801,0.024177454,0.024057213,0.024227899,0.02412983,0.02407497,0.02412134,0.02419731,0.024138615,0.024237268,0.024065824,0.024216421,0.024192452,0.024118936,0.024167739,0.024190824,0.024155406,0.024171717,0.024680145,0.024790337,0.024547439,0.02459041,0.024759825,0.024724185,0.02463273,0.024790913,0.024568863,0.024644125,0.024815971,0.025051232,0.024735425,0.024692249,0.02482646,0.024262544,0.024386004,0.024929293,0.024557227
Gal(ID:4),0.02382806,0.024081083,0.024149746,0.024209581,0.02410251,0.024172392,0.024054352,0.02422443,0.024125818,0.024063753,0.024115294,0.024196986,0.024135362,0.024234878,0.02406739,0.024215765,0.024188519,0.024110675,0.024162523,0.024188882,0.024149459,0.024167191,0.024686787,0.024800535,0.024539007,0.024599884,0.024760438,0.02473532,0.024630642,0.02478071,0.02457977,0.024664745,0.024817359,0.025049454,0.024754323,0.024695111,0.024830783,0.02424936,0.024392713,0.024940083,0.024548324
GlcNAc(ID:5),0.023840187,0.024092512,0.024162557,0.024231663,0.024106378,0.02418426,0.02406753,0.024231687,0.024127973,0.024069777,0.02413489,0.024193851,0.024144901,0.024233734,0.02407714,0.024223156,0.024191692,0.024106964,0.02416559,0.024185041,0.024168912,0.024176678,0.02467113,0.024820473,0.024536658,0.024592364,0.024757056,0.024717823,0.0246385,0.024770537,0.024563245,0.024643932,0.024800451,0.02503535,0.02473196,0.024700187,0.024829263,0.02424828,0.024372507,0.024905851,0.024547366
Man(ID:6),0.02382944,0.024086205,0.024142722,0.024212182,0.024096342,0.024173267,0.02404723,0.02422076,0.024121508,0.024066772,0.02411747,0.024187787,0.024132531,0.024221692,0.02406251,0.024209637,0.024188755,0.024105381,0.024163956,0.02417786,0.024150599,0.024169661,0.02468699,0.024803115,0.02454593,0.024595952,0.024763122,0.024732368,0.024639428,0.024797212,0.024579132,0.024649963,0.02481163,0.02505475,0.024756039,0.024713136,0.024829226,0.024266444,0.02439503,0.024926307,0.024569973
GlcNAc(ID:7),0.023839213,0.024095684,0.024154527,0.024218563,0.024104133,0.02416718,0.024057604,0.024222128,0.024122328,0.024064582,0.024118904,0.024189118,0.024131741,0.024230812,0.024068924,0.024212623,0.02419103,0.024112504,0.024167059,0.024180682,0.024157409,0.02416762,0.024704117,0.024808343,0.024534695,0.024584157,0.024761414,0.02473354,0.024624906,0.024786035,0.02456801,0.024638575,0.024812836,0.025048848,0.024755804,0.02470008,0.02483929,0.024256272,0.024393415,0.024921827,0.024553468
