Model Size,Task,Classifier,Metric,Mean_Score,Std_Score,Mask
large_multitask_mask_edge_70,domain,SVM_HPO,Accuracy,0.9169387014871236,0.016041599120417818,70
large_multitask_mask_edge_70,domain,SVM_HPO,Macro-F1,0.7089134528571392,0.04845758730405051,70
large_multitask_mask_edge_70,domain,SVM_HPO,Macro-Precision,0.7468932006744607,0.08968531793905749,70
large_multitask_mask_edge_70,domain,SVM_HPO,Macro-Recall,0.7125413305050802,0.052781500348402156,70
large_multitask_mask_edge_70,domain,LGBM_HPO,Accuracy,0.9038810301051868,0.013163037585508916,70
large_multitask_mask_edge_70,domain,LGBM_HPO,Macro-F1,0.6590783250682128,0.02287107274433617,70
large_multitask_mask_edge_70,domain,LGBM_HPO,Macro-Precision,0.7710021104755059,0.1276652037963023,70
large_multitask_mask_edge_70,domain,LGBM_HPO,Macro-Recall,0.6719330619518217,0.028718598839122377,70
large_multitask_mask_edge_70,kingdom,SVM_HPO,Accuracy,0.8973521944142183,0.011986007719882683,70
large_multitask_mask_edge_70,kingdom,SVM_HPO,Macro-F1,0.601744097090211,0.0657760519400394,70
large_multitask_mask_edge_70,kingdom,SVM_HPO,Macro-Precision,0.6288588793417551,0.055416874687239444,70
large_multitask_mask_edge_70,kingdom,SVM_HPO,Macro-Recall,0.5992183551754237,0.06902796484148774,70
large_multitask_mask_edge_70,kingdom,LGBM_HPO,Accuracy,0.9060573086688429,0.008239257665288794,70
large_multitask_mask_edge_70,kingdom,LGBM_HPO,Macro-F1,0.6832172872811557,0.01618487072510729,70
large_multitask_mask_edge_70,kingdom,LGBM_HPO,Macro-Precision,0.6972944744916907,0.031183226214431516,70
large_multitask_mask_edge_70,kingdom,LGBM_HPO,Macro-Recall,0.6861173955835986,0.012265796866655628,70
large_multitask_mask_edge_70,phylum,SVM_HPO,Accuracy,0.8422198041349294,0.003264417845484202,70
large_multitask_mask_edge_70,phylum,SVM_HPO,Macro-F1,0.46306153086421703,0.008496172223242072,70
large_multitask_mask_edge_70,phylum,SVM_HPO,Macro-Precision,0.47754503728306985,0.0061998973599030295,70
large_multitask_mask_edge_70,phylum,SVM_HPO,Macro-Recall,0.4596669201545332,0.008370800210445815,70
large_multitask_mask_edge_70,phylum,LGBM_HPO,Accuracy,0.8298875589408778,0.004397662550954729,70
large_multitask_mask_edge_70,phylum,LGBM_HPO,Macro-F1,0.3735057907202215,0.004814638990924897,70
large_multitask_mask_edge_70,phylum,LGBM_HPO,Macro-Precision,0.42913895332993235,0.02236180994628069,70
large_multitask_mask_edge_70,phylum,LGBM_HPO,Macro-Recall,0.3705899387204467,0.01309788983476088,70
