Model Size,Task,Classifier,Seed,C,kernel,gamma,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
large_multitask_mask_node_70,domain,SVM,0,0.5301709347576824,linear,,,,,,,,,
large_multitask_mask_node_70,domain,SVM,1,0.4944059287398674,linear,,,,,,,,,
large_multitask_mask_node_70,domain,SVM,2,1.275466815572557,rbf,0.003867464027059848,,,,,,,,
large_multitask_mask_node_70,domain,LGBM,0,,,,0.9512773885388708,0.05659486115229478,5.0,301.0,147.0,0.013108813258313513,0.0705376339063223,0.6480786244852675
large_multitask_mask_node_70,domain,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
large_multitask_mask_node_70,domain,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
large_multitask_mask_node_70,kingdom,SVM,0,0.5301709347576824,linear,,,,,,,,,
large_multitask_mask_node_70,kingdom,SVM,1,37.137282635707706,rbf,0.002352959348061621,,,,,,,,
large_multitask_mask_node_70,kingdom,SVM,2,1.275466815572557,rbf,0.003867464027059848,,,,,,,,
large_multitask_mask_node_70,kingdom,LGBM,0,,,,0.9512773885388708,0.05659486115229478,5.0,301.0,147.0,0.013108813258313513,0.0705376339063223,0.6480786244852675
large_multitask_mask_node_70,kingdom,LGBM,1,,,,0.6371203234562951,0.05826049138004879,5.0,416.0,28.0,3.081839932567508,0.06594014877215837,0.6236972805206253
large_multitask_mask_node_70,kingdom,LGBM,2,,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137
large_multitask_mask_node_70,phylum,SVM,0,1.3116515715358075,linear,,,,,,,,,
large_multitask_mask_node_70,phylum,SVM,1,37.137282635707706,rbf,0.002352959348061621,,,,,,,,
large_multitask_mask_node_70,phylum,SVM,2,0.1501799526595153,linear,,,,,,,,,
