Model Size,Task,Classifier,Metric,Mean_Score,Std_Score,Mask
large_multitask_mask_node_70,domain,SVM_HPO,Accuracy,0.8853826623141096,0.032395376367684546,70
large_multitask_mask_node_70,domain,SVM_HPO,Macro-F1,0.548169227767842,0.14067898704122905,70
large_multitask_mask_node_70,domain,SVM_HPO,Macro-Precision,0.5450644092351998,0.1519374208622678,70
large_multitask_mask_node_70,domain,SVM_HPO,Macro-Recall,0.5562255031184351,0.13117276583393905,70
large_multitask_mask_node_70,domain,LGBM_HPO,Accuracy,0.9122234312658687,0.0027384238067721138,70
large_multitask_mask_node_70,domain,LGBM_HPO,Macro-F1,0.6398083312876145,0.01749213820735312,70
large_multitask_mask_node_70,domain,LGBM_HPO,Macro-Precision,0.8763668017115697,0.07959102455682014,70
large_multitask_mask_node_70,domain,LGBM_HPO,Macro-Recall,0.6504434982875172,0.011215532958745809,70
large_multitask_mask_node_70,kingdom,SVM_HPO,Accuracy,0.8737758433079433,0.03607308912785806,70
large_multitask_mask_node_70,kingdom,SVM_HPO,Macro-F1,0.5360461317853117,0.010649296525432618,70
large_multitask_mask_node_70,kingdom,SVM_HPO,Macro-Precision,0.5877402042230523,0.06462087770711529,70
large_multitask_mask_node_70,kingdom,SVM_HPO,Macro-Recall,0.539583953358853,0.007139801904469112,70
large_multitask_mask_node_70,kingdom,LGBM_HPO,Accuracy,0.9006166122597025,0.0027384238067721138,70
large_multitask_mask_node_70,kingdom,LGBM_HPO,Macro-F1,0.5715024456135013,0.08354381865510284,70
large_multitask_mask_node_70,kingdom,LGBM_HPO,Macro-Precision,0.5681842227471688,0.08342136266892179,70
large_multitask_mask_node_70,kingdom,LGBM_HPO,Macro-Recall,0.5765354859906195,0.08377655440578814,70
large_multitask_mask_node_70,phylum,SVM_HPO,Accuracy,0.8103010518679724,0.036454019323183845,70
large_multitask_mask_node_70,phylum,SVM_HPO,Macro-F1,0.36601943476441096,0.04510982843999011,70
large_multitask_mask_node_70,phylum,SVM_HPO,Macro-Precision,0.4175240196647927,0.03028251330666977,70
large_multitask_mask_node_70,phylum,SVM_HPO,Macro-Recall,0.37676497543249,0.06346502459313615,70
large_multitask_mask_node_70,phylum,LGBM_HPO,Accuracy,0.8400435255712732,0.008705114254624613,70
large_multitask_mask_node_70,phylum,LGBM_HPO,Macro-F1,0.36700007277761865,0.007209619783410667,70
large_multitask_mask_node_70,phylum,LGBM_HPO,Macro-Precision,0.4514391639061701,0.03661300099794204,70
large_multitask_mask_node_70,phylum,LGBM_HPO,Macro-Recall,0.3633540175155376,0.004967799231429503,70
large_multitask_mask_node_70,class,SVM_HPO,Accuracy,0.6619513964454117,0.004530285091330015,70
large_multitask_mask_node_70,class,SVM_HPO,Macro-F1,0.31890357067628733,0.02462109999782442,70
large_multitask_mask_node_70,class,SVM_HPO,Macro-Precision,0.37961880285652083,0.02043375064013967,70
large_multitask_mask_node_70,class,SVM_HPO,Macro-Recall,0.34602469265013847,0.025340984238709254,70
large_multitask_mask_node_70,class,LGBM_HPO,Accuracy,0.7192600652883568,0.006618892851249434,70
large_multitask_mask_node_70,class,LGBM_HPO,Macro-F1,0.36000125970073443,0.016639653147941337,70
large_multitask_mask_node_70,class,LGBM_HPO,Macro-Precision,0.4578160644611122,0.02347882538618603,70
large_multitask_mask_node_70,class,LGBM_HPO,Macro-Recall,0.3581817031521836,0.01950215510815211,70
large_multitask_mask_node_70,order,SVM_HPO,Accuracy,0.4388828436706565,0.01111465610884626,70
large_multitask_mask_node_70,order,SVM_HPO,Macro-F1,0.2511956423513022,0.0039138165464329645,70
large_multitask_mask_node_70,order,SVM_HPO,Macro-Precision,0.29004620952990656,0.008378163530020941,70
large_multitask_mask_node_70,order,SVM_HPO,Macro-Recall,0.2556403970935162,0.002653398121581234,70
large_multitask_mask_node_70,order,LGBM_HPO,Accuracy,0.49474066013783097,0.013778324202555337,70
large_multitask_mask_node_70,order,LGBM_HPO,Macro-F1,0.2445403572740108,0.008000474066954505,70
large_multitask_mask_node_70,order,LGBM_HPO,Macro-Precision,0.29068714279262126,0.009312336624928733,70
large_multitask_mask_node_70,order,LGBM_HPO,Macro-Recall,0.2511399953683428,0.009088834963020717,70
large_multitask_mask_node_70,family,SVM_HPO,Accuracy,0.42691331157054774,0.02703611919272285,70
large_multitask_mask_node_70,family,SVM_HPO,Macro-F1,0.22774420227759465,0.0038539125411870935,70
large_multitask_mask_node_70,family,SVM_HPO,Macro-Precision,0.2524222986967496,0.0028389353516986974,70
large_multitask_mask_node_70,family,SVM_HPO,Macro-Recall,0.2530575920283873,0.01068780824796014,70
large_multitask_mask_node_70,family,LGBM_HPO,Accuracy,0.4740660137830976,0.009060570182659981,70
large_multitask_mask_node_70,family,LGBM_HPO,Macro-F1,0.19330246797084324,0.008159304516914939,70
large_multitask_mask_node_70,family,LGBM_HPO,Macro-Precision,0.21771425135002068,0.009247532796808915,70
large_multitask_mask_node_70,family,LGBM_HPO,Macro-Recall,0.21398767903587637,0.01257088626918903,70
large_multitask_mask_node_70,genus,SVM_HPO,Accuracy,0.42800145085237573,0.0027384238067721172,70
large_multitask_mask_node_70,genus,SVM_HPO,Macro-F1,0.1933347323553641,0.001693172420033415,70
large_multitask_mask_node_70,genus,SVM_HPO,Macro-Precision,0.21114148221515064,0.006832332009518143,70
large_multitask_mask_node_70,genus,SVM_HPO,Macro-Recall,0.20792821314577833,0.00033646097539715705,70
large_multitask_mask_node_70,genus,LGBM_HPO,Accuracy,0.42546245919477693,0.0028789459315174946,70
large_multitask_mask_node_70,genus,LGBM_HPO,Macro-F1,0.13848020419862345,0.0038804290274917887,70
large_multitask_mask_node_70,genus,LGBM_HPO,Macro-Precision,0.16631729554814897,0.004411112341754777,70
large_multitask_mask_node_70,genus,LGBM_HPO,Macro-Recall,0.15015712929277972,0.0019208934364262017,70
large_multitask_mask_node_70,species,SVM_HPO,Accuracy,0.40696409140369966,0.0067954276369949825,70
large_multitask_mask_node_70,species,SVM_HPO,Macro-F1,0.17822200494180937,0.002159224345165035,70
large_multitask_mask_node_70,species,SVM_HPO,Macro-Precision,0.18958572895996273,0.00285462796997295,70
large_multitask_mask_node_70,species,SVM_HPO,Macro-Recall,0.1913716676421332,0.0021328042951534697,70
