,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
[GRAPH_TOKEN],0.017484743,0.017942876,0.025396518,0.023115113,0.02143088,0.031370267,0.029954134,0.020296134,0.014480019,0.028794948,0.03200784,0.020107526,0.029235242,0.017351827,0.026750932,0.026883252,0.02161204,0.017190376,0.01379502,0.013856529,0.0269856,0.012099579,0.026443694,0.037755363,0.016932398,0.04303532,0.026315585,0.026579212,0.021309955,0.026052235,0.03406231,0.051814582,0.022797875,0.021321576,0.025133874,0.039318223,0.03399921,0.017611235,0.015351214,0.013337875,0.012686871
[NULL_TOKEN],0.017377028,0.01783219,0.025671374,0.02310516,0.022503462,0.03199263,0.029915009,0.021470353,0.0140818665,0.030749522,0.032057315,0.021178873,0.028763307,0.018250722,0.026933217,0.027050529,0.022456085,0.017165517,0.013712186,0.014224455,0.026383733,0.012181345,0.025894908,0.040010087,0.016529918,0.042916745,0.025912266,0.025572168,0.020824604,0.022924827,0.034077235,0.050943613,0.022918541,0.021001086,0.024698224,0.041246116,0.031504743,0.017174408,0.015204111,0.01302645,0.012564075
Gal(ID:0),0.014292313,0.014943597,0.034198888,0.01703129,0.021056669,0.044367652,0.023955163,0.021268737,0.006937694,0.04145099,0.039326467,0.024465917,0.024081416,0.019135524,0.033332564,0.015430849,0.019083604,0.011658566,0.0070499815,0.012700268,0.012131494,0.006820208,0.040742822,0.03085545,0.012203348,0.08111337,0.038137898,0.02880552,0.010871222,0.018551037,0.0485267,0.061582476,0.025932131,0.014462363,0.033644453,0.026665274,0.025300294,0.009952499,0.011932597,0.0089175785,0.0070831385
Fuc(ID:1),0.016180452,0.016831484,0.032202423,0.026868394,0.012665281,0.04075452,0.02942758,0.012650672,0.014006625,0.025127841,0.03645518,0.0133397635,0.026964445,0.010550093,0.031041514,0.030155974,0.013679031,0.01766647,0.013059531,0.007113528,0.020098051,0.00934522,0.020501591,0.0923145,0.013728561,0.05386537,0.016407365,0.022160893,0.015836054,0.013323853,0.031517,0.0322049,0.012303393,0.018622793,0.020585772,0.1032591,0.026396759,0.019625228,0.005812235,0.0062615043,0.01908905
GlcNAc(ID:2),0.019785263,0.020161027,0.021384245,0.015627997,0.008754395,0.026535168,0.03506803,0.010219429,0.01915466,0.017165063,0.025066042,0.007981256,0.039511368,0.0077238632,0.022343716,0.015143326,0.012284429,0.028116573,0.020493153,0.010645505,0.022371523,0.008264475,0.020056706,0.032522805,0.021095041,0.049345393,0.017321782,0.029626008,0.02475454,0.052050818,0.018288119,0.037587352,0.014129917,0.033354353,0.017843597,0.03576022,0.112273574,0.027755491,0.007814067,0.0076930095,0.026926696
Gal(ID:3),0.014372802,0.01496133,0.03613501,0.015953574,0.017130867,0.049986776,0.022876997,0.018048717,0.008138994,0.033290714,0.044200085,0.01814938,0.02228081,0.015428595,0.03611455,0.0145875225,0.016947666,0.014840856,0.008339401,0.011056601,0.010997119,0.0069011003,0.036507327,0.03257652,0.01324834,0.11805302,0.029742561,0.034306437,0.012826714,0.017846555,0.045394193,0.0546515,0.020835975,0.017213047,0.029256163,0.029166851,0.01637561,0.011694312,0.011774587,0.01052697,0.0072638458
Gal(ID:4),0.016377617,0.016655156,0.031943407,0.015811224,0.038002584,0.047558576,0.036660053,0.038485177,0.013206197,0.04158917,0.034308374,0.033991534,0.028596383,0.030980254,0.030061565,0.015171397,0.036140643,0.019704804,0.014716299,0.024958659,0.015256995,0.01294598,0.026582772,0.020792224,0.015165896,0.049986377,0.030356318,0.025868477,0.013331732,0.013631654,0.024276007,0.037869684,0.024305016,0.018738892,0.021102745,0.019189555,0.016494071,0.010265923,0.019221101,0.013954543,0.0057449634
GlcNAc(ID:5),0.025189875,0.02544758,0.023271754,0.019519305,0.008907832,0.02700424,0.03192961,0.010467673,0.023845315,0.019212143,0.026959496,0.007671863,0.037357062,0.00845684,0.02356921,0.01906471,0.012990608,0.029740904,0.022618528,0.0121814795,0.02458442,0.009949959,0.024452038,0.020831037,0.02315501,0.037508674,0.020203574,0.038828872,0.024384618,0.06603252,0.01840116,0.025133817,0.015693119,0.027908763,0.02018931,0.02604799,0.08540697,0.030000675,0.012050237,0.009930661,0.023900544
Man(ID:6),0.031848766,0.032360286,0.019250587,0.014761871,0.022801476,0.012419391,0.020186922,0.021997452,0.058962807,0.019985512,0.017844234,0.015259913,0.022271484,0.020173894,0.023478895,0.015290579,0.02224486,0.048880473,0.053023487,0.024682272,0.016324582,0.015621148,0.012892269,0.011382581,0.03429823,0.006965056,0.016150787,0.056417577,0.054878563,0.028811732,0.008141153,0.011837327,0.013861672,0.03870527,0.011071996,0.01079265,0.026526734,0.044608112,0.028848486,0.023190156,0.010948751
GlcNAc(ID:7),0.015320622,0.015987447,0.028978009,0.017706636,0.007815549,0.028898105,0.028771203,0.008720774,0.018434,0.019412631,0.03518848,0.0066382214,0.036940515,0.006704894,0.030972362,0.019007247,0.009440126,0.026901707,0.016606845,0.008617756,0.021968398,0.0069958866,0.022976032,0.02149928,0.020520827,0.060506076,0.017210552,0.033415042,0.019967234,0.08309561,0.01879842,0.054288976,0.012783848,0.02435186,0.023169482,0.030666403,0.08448531,0.024472222,0.008969376,0.00789085,0.014905179
