,[GRAPH_TOKEN],[NULL_TOKEN],Kdn(ID:0),Gal(ID:1),GlcNAc(ID:2),Neu5Ac(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),Neu5Ac(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),AllNAc(ID:11),Man(ID:12),Man(ID:13),GlcNAc(ID:14),Fuc(ID:15),GlcNAc(ID:16),a2-3(0->1),b1-4(1->2),b1-2(2->6),a2-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->13),a2-3(7->8),b1-4(8->9),b1-2(9->12),b1-4(10->11),b1-6(11->12),a1-6(12->13),b1-4(13->14),b1-4(14->16),a1-6(15->16)
[GRAPH_TOKEN],0.0134646995,0.013275626,0.096533686,0.011856053,0.015915263,0.032273058,0.01210621,0.01618993,0.043321587,0.034826905,0.012312448,0.016319342,0.014778409,0.12131031,0.031620715,0.03390264,0.01667032,0.050768122,0.017818423,0.032159578,0.01457513,0.05061253,0.02774798,0.015587579,0.018761847,0.03232714,0.029060848,0.014338753,0.037135143,0.012041208,0.021892484,0.02435225,0.01615301,0.015869848,0.032120924
[NULL_TOKEN],0.013454413,0.013219776,0.0990276,0.011943096,0.016449703,0.03138731,0.012330327,0.016698774,0.042857733,0.033697005,0.012541132,0.016886607,0.015052325,0.122721106,0.031023415,0.034363985,0.017159868,0.05306089,0.018260084,0.03266853,0.014696407,0.047446374,0.028149983,0.01574887,0.017991604,0.03140629,0.029467301,0.0143079795,0.034537144,0.012066575,0.021985441,0.024238447,0.01611204,0.015818533,0.031223342
Kdn(ID:0),0.0330752,0.033925135,0.016424809,0.037724774,0.026202898,0.019902067,0.040360875,0.025104169,0.028558204,0.018860973,0.043155417,0.026626393,0.045424663,0.017100044,0.03296716,0.027047236,0.025397737,0.0341651,0.025649955,0.02597161,0.03084465,0.020321138,0.027303943,0.032140672,0.024811015,0.027050845,0.026748948,0.03535458,0.023260217,0.03442753,0.030141395,0.025747608,0.027092025,0.02462614,0.026484873
Gal(ID:1),0.01218866,0.011659142,0.112431556,0.010780272,0.015491464,0.024459748,0.011408348,0.016695902,0.03986739,0.02571703,0.0101529965,0.01621639,0.012692375,0.1581471,0.03745258,0.047178417,0.014582445,0.05540348,0.013137186,0.03787074,0.013594105,0.021963537,0.032966055,0.0139943,0.012534403,0.029807596,0.034837704,0.01221796,0.01956516,0.011344794,0.014366817,0.028208472,0.011590738,0.015945412,0.043529738
GlcNAc(ID:2),0.014765168,0.014549196,0.08652081,0.012762915,0.0143824285,0.027621448,0.013428422,0.015210608,0.055309534,0.028288782,0.012722707,0.014962066,0.015104258,0.11382141,0.046665587,0.04834503,0.01512048,0.03848964,0.015581753,0.03582898,0.017147096,0.03550167,0.030763082,0.01828629,0.026978133,0.031482823,0.032052472,0.016524062,0.026709495,0.014186185,0.025261942,0.023755245,0.017183088,0.015794128,0.028893063
Neu5Ac(ID:3),0.022971869,0.022955121,0.047438294,0.023966715,0.01829352,0.022578245,0.027302038,0.018715272,0.045077823,0.022471977,0.024687726,0.018354937,0.027543463,0.061520834,0.052497312,0.037739746,0.01845461,0.03845066,0.016818644,0.03544536,0.022298805,0.01948743,0.036747765,0.024256533,0.03203287,0.028278656,0.035324953,0.022881411,0.018359438,0.025824279,0.033610765,0.027028054,0.020184688,0.022637958,0.027762238
Gal(ID:4),0.011501647,0.010997359,0.1197253,0.010831492,0.014876336,0.024638947,0.011766222,0.0162618,0.037225917,0.02548649,0.010038954,0.015697544,0.012789688,0.17108387,0.03434258,0.046147116,0.014000474,0.05884776,0.012107812,0.04009955,0.013272797,0.019415105,0.034617387,0.013819525,0.010304099,0.022371836,0.036863312,0.011990761,0.01802629,0.010906038,0.012962703,0.025946133,0.010476781,0.015078217,0.045482174
GlcNAc(ID:5),0.014742209,0.014618274,0.07923292,0.014277716,0.014654702,0.02825915,0.015050033,0.015550516,0.05687953,0.02878717,0.014336975,0.015324272,0.016458701,0.10626786,0.049653646,0.050122984,0.015261661,0.03762066,0.015835933,0.037860535,0.01728759,0.033819422,0.032747544,0.018695805,0.026496122,0.028392334,0.033886436,0.016863836,0.026190579,0.014641768,0.023799889,0.024347495,0.016625587,0.015480275,0.029929847
Man(ID:6),0.021051446,0.021140158,0.026625587,0.020340826,0.029657194,0.031169593,0.018721875,0.028616294,0.030963264,0.032507986,0.02146026,0.029467363,0.02119178,0.027404377,0.02653315,0.026679356,0.028705511,0.018700166,0.03072814,0.022426937,0.026141956,0.03922806,0.021658653,0.024459679,0.032046568,0.10034251,0.022672046,0.025600206,0.027931234,0.02259149,0.02323835,0.04680396,0.026080733,0.024811234,0.022302061
Neu5Ac(ID:7),0.023803204,0.02375738,0.050703377,0.023671139,0.01794963,0.022838585,0.026872607,0.01838445,0.044776082,0.022869047,0.024292815,0.01803092,0.027107198,0.06257938,0.053885907,0.03754252,0.018089386,0.03277326,0.016554397,0.03592389,0.022900397,0.018437738,0.037458215,0.025109472,0.033892896,0.027523115,0.035957627,0.023671469,0.018127954,0.026599122,0.03378641,0.025447834,0.02045307,0.02215874,0.026070781
