,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
[GRAPH_TOKEN],0.010625974,0.010810974,0.013772009,0.045861967,0.00992622,0.012255971,0.010469574,0.0095636,0.053823262,0.009455375,0.012336059,0.009347287,0.0105005205,0.009650446,0.012608501,0.048673104,0.009486911,0.052753635,0.047610346,0.009370139,0.046859194,0.11232566,0.013843563,0.055410575,0.033103388,0.029077258,0.013661679,0.014786206,0.021015057,0.011706358,0.013559332,0.021200769,0.013276184,0.021853812,0.01199712,0.06769949,0.020262346,0.020623082,0.0114592,0.010502525,0.02687533
[NULL_TOKEN],0.010788889,0.010960188,0.014124243,0.04639378,0.010228997,0.012565712,0.01058141,0.009916293,0.054139007,0.009736697,0.012669275,0.009635862,0.010781439,0.00998042,0.012968918,0.04911736,0.009874554,0.053615637,0.04838453,0.009642687,0.04725913,0.10983389,0.01405988,0.055889502,0.031497497,0.029545035,0.01368687,0.014587207,0.021273253,0.01147547,0.013790987,0.020602638,0.01339359,0.01990242,0.01207063,0.067994624,0.019377694,0.02011869,0.011367157,0.010268177,0.025899792
Gal(ID:0),0.009234637,0.008969963,0.011484927,0.043015666,0.012436893,0.011380458,0.010703438,0.010787221,0.050305557,0.011942468,0.011605898,0.012297698,0.010583179,0.012921372,0.011171323,0.04623056,0.011230653,0.038373716,0.04235019,0.010367074,0.044001706,0.17320068,0.009973765,0.07914801,0.014561121,0.02616675,0.008052105,0.008416388,0.012343993,0.011925837,0.009531798,0.01254179,0.0087990165,0.015608072,0.00867155,0.10743393,0.012329422,0.01393256,0.0069783377,0.008030416,0.020959835
Fuc(ID:1),0.022011459,0.022644311,0.021561995,0.037690584,0.024037648,0.020985316,0.0207038,0.023169124,0.027976684,0.023715496,0.021474844,0.024067456,0.020334683,0.023497311,0.02133891,0.036879476,0.0241494,0.02930057,0.029124588,0.023610387,0.037482575,0.029285353,0.024106093,0.032318834,0.016633622,0.021643482,0.023571378,0.014841194,0.020252686,0.018378524,0.024431128,0.017511178,0.024555799,0.016782437,0.024616687,0.031278435,0.019524805,0.029359244,0.022250652,0.019561851,0.033340007
GlcNAc(ID:2),0.014113298,0.0143278185,0.01563699,0.034646016,0.012770569,0.014610832,0.013238292,0.01223534,0.053907335,0.011909518,0.014460748,0.01181088,0.013343322,0.012160348,0.014606217,0.03565276,0.011956423,0.0656244,0.053618073,0.0119668245,0.03460972,0.095586285,0.018397562,0.04205215,0.025630273,0.040541697,0.01701241,0.019005973,0.019861363,0.014484683,0.018017665,0.016450021,0.01675469,0.020854615,0.016083648,0.043259278,0.025655793,0.021645239,0.014308447,0.013295891,0.023896584
Gal(ID:3),0.00991425,0.009696004,0.012025261,0.03987409,0.012918783,0.0117525365,0.010996341,0.011265732,0.048529178,0.01242586,0.012095247,0.012853251,0.011083255,0.013521628,0.011657504,0.042215735,0.011757539,0.03823279,0.042076096,0.010954102,0.0400558,0.17306057,0.010595089,0.07762792,0.014687406,0.026025351,0.008638719,0.008475908,0.012897454,0.011891811,0.010159468,0.014014383,0.009350135,0.017409496,0.009227976,0.1039479,0.013557068,0.013846122,0.0076888837,0.008737426,0.022259938
Gal(ID:4),0.011175166,0.010846137,0.013190905,0.036347024,0.014076676,0.012114429,0.011334877,0.012291927,0.037519522,0.013431319,0.01243177,0.013740079,0.010686468,0.014366936,0.012094013,0.037975885,0.0127074625,0.034788363,0.03453958,0.012047701,0.036514793,0.17283586,0.012099724,0.07710945,0.014272388,0.029198736,0.009635395,0.010258405,0.01326188,0.013597439,0.011643281,0.019273805,0.010419853,0.019750383,0.010363027,0.09727725,0.019912435,0.013733291,0.009198957,0.01090441,0.021033019
GlcNAc(ID:5),0.012984791,0.013106796,0.014917396,0.03362723,0.011919921,0.014072678,0.012508392,0.01132444,0.057273827,0.011084693,0.013888637,0.010805648,0.012381837,0.011096658,0.014051539,0.03488486,0.011078131,0.060841832,0.05473273,0.011148778,0.033735864,0.10880686,0.016981797,0.043077778,0.027656075,0.040673938,0.016680695,0.019076694,0.025866311,0.013990612,0.0164329,0.016734995,0.016218837,0.02126086,0.015215727,0.045751784,0.021555092,0.020362634,0.014918546,0.012955781,0.024315404
Man(ID:6),0.020732097,0.020681977,0.023596443,0.021812387,0.02690678,0.02330548,0.02413724,0.027138948,0.015570702,0.025773946,0.024107223,0.025773183,0.023562321,0.026662825,0.025118064,0.02008233,0.028946534,0.014638882,0.014451982,0.026515916,0.02053146,0.013540707,0.019339759,0.019218946,0.033428594,0.021952983,0.023303758,0.028886344,0.08537649,0.019566445,0.020145085,0.021079548,0.02252262,0.026089579,0.020621786,0.019657483,0.023557393,0.035929624,0.023143074,0.019764466,0.02282858
GlcNAc(ID:7),0.013139721,0.0132742515,0.015596803,0.03552218,0.012229842,0.014514662,0.012589343,0.011682587,0.054788962,0.011327283,0.014232363,0.011074368,0.012368463,0.01130792,0.014575053,0.036443308,0.011438786,0.060684945,0.05343727,0.011377186,0.035186645,0.10304512,0.017188132,0.043082237,0.027682591,0.041627638,0.01678415,0.020502148,0.024662158,0.013774253,0.016595054,0.017178861,0.01638663,0.020241829,0.015311247,0.045816388,0.021655496,0.020340458,0.014510671,0.01233848,0.024484513
