,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
[GRAPH_TOKEN],0.024721611,0.02536032,0.024486609,0.024594424,0.024950027,0.02432938,0.024272066,0.024735503,0.02514709,0.024843447,0.02458067,0.025441326,0.024491783,0.025060216,0.024401393,0.024963487,0.024722984,0.025268372,0.024935855,0.02450407,0.024105156,0.025038555,0.024035063,0.024053602,0.023944415,0.023725057,0.023847261,0.024111431,0.023768235,0.023839593,0.024047127,0.023847222,0.024104662,0.02383693,0.024005916,0.024361731,0.023749722,0.023871243,0.024033818,0.02380405,0.02405857
[NULL_TOKEN],0.02471559,0.025055096,0.024386354,0.024913501,0.024702553,0.024182687,0.023960715,0.024686761,0.024865042,0.024688244,0.024329422,0.025175534,0.024250565,0.024713242,0.024067838,0.024937522,0.024593804,0.025285412,0.024644995,0.024474923,0.024245843,0.025161983,0.024126146,0.024388872,0.02389734,0.023927124,0.024017382,0.024148256,0.023982037,0.023966957,0.024201274,0.023960318,0.024288863,0.023877608,0.024139091,0.024565276,0.024028977,0.02401036,0.02416718,0.024013301,0.024256023
Gal(ID:0),0.024487326,0.025188606,0.024568439,0.025095046,0.024825774,0.024172895,0.02404873,0.024936713,0.024869649,0.024826664,0.024459522,0.025387075,0.02450968,0.025205629,0.024236692,0.024920981,0.024735928,0.025405966,0.024808418,0.024431739,0.024250727,0.025027469,0.02399974,0.024230506,0.023809712,0.02375995,0.02387545,0.024075827,0.023715617,0.023842718,0.024060462,0.023898173,0.0241678,0.023938026,0.024069857,0.024430986,0.023856647,0.023927249,0.023989527,0.023808505,0.024143575
Fuc(ID:1),0.024663882,0.025221918,0.024685528,0.02510199,0.024757707,0.02412342,0.024181288,0.024814393,0.024992071,0.024820298,0.024448436,0.025345486,0.024549529,0.024798635,0.024150603,0.024775859,0.024529757,0.025485758,0.024943823,0.024484415,0.024124693,0.025016343,0.024118818,0.02433737,0.023776198,0.023747858,0.023929894,0.02409485,0.023771266,0.023956334,0.024116015,0.023845583,0.024197884,0.023818025,0.023994785,0.024309568,0.023846362,0.023926113,0.024072554,0.023968114,0.024156574
GlcNAc(ID:2),0.02458904,0.025197502,0.024531884,0.025217064,0.02483044,0.024147939,0.024193693,0.025015954,0.024885131,0.02476199,0.024427306,0.025408639,0.024352431,0.024817567,0.024218863,0.024948543,0.024539912,0.025441155,0.024834666,0.024538413,0.02427908,0.02508678,0.024004132,0.024210759,0.02395841,0.023768352,0.023903176,0.024139017,0.023770288,0.0238627,0.024138866,0.023803292,0.024075164,0.023956291,0.023916494,0.024307132,0.023913259,0.024007028,0.024049286,0.023801342,0.024151042
Gal(ID:3),0.024288163,0.025037875,0.0247149,0.025412992,0.024747923,0.024265243,0.024105456,0.02500119,0.025060395,0.024771497,0.02434715,0.025356052,0.0244983,0.025025364,0.02412108,0.024989858,0.024638612,0.02533951,0.024821656,0.024535408,0.02432267,0.025024831,0.024044797,0.024206834,0.023834514,0.023730824,0.02387292,0.024168417,0.023774048,0.023892514,0.024067227,0.023846699,0.02418042,0.023864422,0.023985175,0.024298951,0.023872267,0.023932979,0.024030026,0.023842197,0.024128642
Gal(ID:4),0.024301026,0.02500443,0.024684351,0.025190953,0.024865504,0.024246305,0.024209272,0.025058534,0.024848044,0.024846546,0.02445389,0.025472905,0.024429549,0.025148867,0.024282642,0.024876151,0.024705388,0.025337439,0.024831858,0.024559079,0.024319,0.025087167,0.023984272,0.02419269,0.023860378,0.023761837,0.023866687,0.024099004,0.023728568,0.023794023,0.024042808,0.023831489,0.02410981,0.023881711,0.02401929,0.024283376,0.023797326,0.023965742,0.024057453,0.023814593,0.024150044
GlcNAc(ID:5),0.024609718,0.0251318,0.024487805,0.024952373,0.024765285,0.024121087,0.02416813,0.024899779,0.02505001,0.024746826,0.024364319,0.025375947,0.024272373,0.025027864,0.024122424,0.024906348,0.02471124,0.02516013,0.024804048,0.024555849,0.024249017,0.025055088,0.024070837,0.024143966,0.023936026,0.023823513,0.023975262,0.024170473,0.023842556,0.023882914,0.024144057,0.023871537,0.02420441,0.023904784,0.024064414,0.024418507,0.023841077,0.023973228,0.024095984,0.023921218,0.024177756
Man(ID:6),0.024674712,0.025162514,0.02459922,0.024930354,0.024694256,0.024174776,0.024102677,0.02482143,0.02500824,0.024668673,0.024424247,0.025227807,0.024457555,0.024814716,0.024257548,0.024851162,0.024523294,0.025459081,0.02482101,0.024437346,0.024262864,0.02507877,0.024014756,0.02425283,0.023966463,0.023860164,0.02391846,0.024120174,0.023917064,0.02392288,0.024111968,0.02388604,0.024165267,0.023998871,0.024047064,0.024360321,0.023932539,0.02395676,0.02411019,0.023864638,0.0241413
GlcNAc(ID:7),0.02449065,0.025120812,0.024416886,0.025076216,0.024794966,0.0240307,0.024141293,0.025000772,0.024985451,0.024744054,0.024426388,0.025384258,0.024379248,0.024908679,0.024186295,0.02498588,0.02466854,0.02532367,0.025010856,0.024585314,0.024282493,0.025146438,0.02398174,0.02412488,0.023891043,0.023741672,0.024001008,0.024117757,0.023802463,0.023880858,0.024115996,0.02383184,0.024168016,0.023856573,0.024040708,0.024391603,0.023863386,0.023944939,0.024117928,0.023860332,0.02417741
