,[GRAPH_TOKEN],[NULL_TOKEN],Kdn(ID:0),Gal(ID:1),GlcNAc(ID:2),Neu5Ac(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),Neu5Ac(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),AllNAc(ID:11),Man(ID:12),Man(ID:13),GlcNAc(ID:14),Fuc(ID:15),GlcNAc(ID:16),a2-3(0->1),b1-4(1->2),b1-2(2->6),a2-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->13),a2-3(7->8),b1-4(8->9),b1-2(9->12),b1-4(10->11),b1-6(11->12),a1-6(12->13),b1-4(13->14),b1-4(14->16),a1-6(15->16)
[GRAPH_TOKEN],0.027958807,0.028262563,0.028331222,0.028212171,0.028405946,0.028310115,0.028215935,0.028250922,0.028267603,0.028397538,0.028278207,0.028429829,0.028316732,0.028364662,0.0284665,0.028412491,0.028362904,0.028344188,0.028331697,0.02918692,0.028801812,0.02886072,0.028630298,0.028660487,0.028695906,0.028896697,0.028614856,0.02917252,0.02899249,0.029005345,0.029013058,0.028940424,0.029079944,0.028792832,0.028735656
[NULL_TOKEN],0.0279601,0.02823861,0.02830817,0.028175078,0.028370522,0.02829156,0.028192975,0.028245442,0.028247148,0.028384484,0.02824676,0.028425291,0.028278802,0.028340459,0.028463863,0.028413702,0.028350718,0.028341686,0.028324615,0.029203106,0.028808165,0.02884026,0.028630525,0.028724499,0.028718669,0.028904207,0.028645461,0.029176999,0.02901201,0.029000461,0.029019197,0.0289771,0.02912826,0.02883419,0.028776903
Kdn(ID:0),0.027939886,0.028223978,0.028325994,0.028207598,0.028366698,0.028288271,0.028201934,0.02823923,0.028267352,0.028364174,0.028259741,0.028419115,0.028300494,0.028346647,0.028462974,0.028409056,0.028351255,0.028344091,0.028322555,0.029222906,0.028813144,0.028848091,0.028639728,0.028695272,0.028722785,0.02892512,0.028631922,0.02917563,0.029007988,0.029032031,0.02902503,0.028964262,0.029109381,0.028810652,0.028735017
Gal(ID:1),0.027930832,0.02820141,0.028329419,0.0282027,0.0283817,0.028299417,0.02820437,0.028261432,0.028278563,0.02837849,0.028260084,0.028434891,0.028306156,0.028361943,0.028481657,0.02842519,0.028363585,0.028342377,0.028339367,0.0291929,0.02879447,0.02884372,0.028641561,0.02867625,0.02870744,0.028919294,0.02863656,0.02915473,0.029020647,0.02900689,0.029016051,0.028972702,0.029095704,0.028799746,0.028737742
GlcNAc(ID:2),0.027942006,0.028232355,0.02833347,0.028206343,0.028375732,0.028307158,0.028221468,0.028246079,0.028277408,0.028377103,0.028264644,0.02842811,0.028307758,0.028371569,0.028475879,0.028419234,0.028347183,0.028358348,0.028329726,0.029198175,0.02878138,0.028846368,0.02866137,0.028671669,0.028700817,0.028926251,0.02862472,0.029152738,0.029013768,0.028997242,0.029040147,0.02897837,0.029070374,0.028778017,0.028737016
Neu5Ac(ID:3),0.027948342,0.02822921,0.028339457,0.028200908,0.028386276,0.028304895,0.02820657,0.02824422,0.02827199,0.028373238,0.028260687,0.028428111,0.028298222,0.028360182,0.028454417,0.028401539,0.028358068,0.02835126,0.02833459,0.029207636,0.028792754,0.028876958,0.028656242,0.02867901,0.028704025,0.028912311,0.02863725,0.02915808,0.029014016,0.028999224,0.0290172,0.028962247,0.029081497,0.028806709,0.028742652
Gal(ID:4),0.027947497,0.028236862,0.028341036,0.028213892,0.028379373,0.028298967,0.02820285,0.028248636,0.028281013,0.028370228,0.02826279,0.028429182,0.028295765,0.028358191,0.028474178,0.02841805,0.028352486,0.028347777,0.028338343,0.029218584,0.02881328,0.028833374,0.028645778,0.028676882,0.028697692,0.028924407,0.028637018,0.029159987,0.029002843,0.028983815,0.029027522,0.028956618,0.029086776,0.02880347,0.028734846
GlcNAc(ID:5),0.027936205,0.028245311,0.028309956,0.028195908,0.02836952,0.028289638,0.02819236,0.028236605,0.028264591,0.0283673,0.028251845,0.0284167,0.02828908,0.028350443,0.028462194,0.028406015,0.028348673,0.028342897,0.028319951,0.02921536,0.028812293,0.028853009,0.028650692,0.028692976,0.028730463,0.02891152,0.028650895,0.029181115,0.02900727,0.029031832,0.02903373,0.02896597,0.029104328,0.028819457,0.028743885
Man(ID:6),0.027941268,0.028245378,0.028335288,0.028193098,0.028369486,0.02830524,0.028200336,0.028242433,0.02827252,0.02837988,0.028251754,0.028423883,0.028293112,0.02836439,0.02846776,0.028407639,0.02834978,0.028354138,0.028321976,0.029198216,0.028791644,0.028867997,0.028650368,0.02867297,0.02871204,0.028919613,0.028639436,0.02915213,0.029013753,0.029005168,0.029025044,0.02898524,0.029087272,0.02879901,0.028760707
Neu5Ac(ID:7),0.027950406,0.028233957,0.028334871,0.028200898,0.028373864,0.028304573,0.028214626,0.028238554,0.028276568,0.02838032,0.02827094,0.028424855,0.028300859,0.028356068,0.028464291,0.028419208,0.028346913,0.028355524,0.0283264,0.029208317,0.028781837,0.028860783,0.02866121,0.028679682,0.028701682,0.02891245,0.028649045,0.029174965,0.029006597,0.028986592,0.029031482,0.028960666,0.02909262,0.02878422,0.028734174
Gal(ID:8),0.027931979,0.028217426,0.028334567,0.028206343,0.028373977,0.028291449,0.028206214,0.028247204,0.02826541,0.02837191,0.028261434,0.028423186,0.028299797,0.028359132,0.028461112,0.028404081,0.02835409,0.02834479,0.028325934,0.029227078,0.028803235,0.028850012,0.028650686,0.028686615,0.028708283,0.02892271,0.028641809,0.02916353,0.02902327,0.02901918,0.029025465,0.028958084,0.02909882,0.028804874,0.028736338
GlcNAc(ID:9),0.027936425,0.02822878,0.02832356,0.02820727,0.028375331,0.028302353,0.02820681,0.028243715,0.028270664,0.028372532,0.02826448,0.028421884,0.028304672,0.028361369,0.028469613,0.028414607,0.028351001,0.028356,0.02832435,0.029202463,0.028795116,0.028870422,0.028653516,0.028677631,0.028706092,0.028919492,0.028634815,0.029162262,0.029021604,0.029000685,0.029032823,0.028970646,0.029078834,0.028794259,0.028743923
Gal(ID:10),0.027924944,0.028222967,0.028330144,0.028201971,0.028371938,0.02830293,0.02820076,0.02825018,0.028271366,0.028373994,0.028255248,0.028426562,0.028297191,0.028348612,0.02846935,0.028414974,0.028353786,0.02834381,0.028321475,0.029217692,0.028799057,0.028837625,0.028658139,0.028683674,0.028705848,0.028936695,0.028638948,0.029166361,0.029017817,0.029007273,0.029027753,0.028981023,0.02910355,0.028799191,0.028737154
AllNAc(ID:11),0.027939154,0.028235981,0.028327774,0.028196018,0.028372394,0.028303301,0.028196994,0.028237881,0.028264984,0.028369691,0.02825443,0.028426867,0.028291551,0.028358601,0.028458646,0.028403226,0.028346045,0.028347684,0.02832342,0.029228974,0.028798284,0.028872086,0.028663624,0.02867201,0.0287123,0.028911714,0.028636703,0.029177425,0.029043775,0.028990095,0.029037632,0.02896063,0.029083312,0.028806157,0.028750613
Man(ID:12),0.027931929,0.028240912,0.028341312,0.028196199,0.028374765,0.028295958,0.028202195,0.028236208,0.028274918,0.02837004,0.02825342,0.02842493,0.028297074,0.028357536,0.028462838,0.028408755,0.028352823,0.028359096,0.028323278,0.02920818,0.028788112,0.02886913,0.028638262,0.028680997,0.028715506,0.028927417,0.028619144,0.029171128,0.02901892,0.029020624,0.029043473,0.028961355,0.029089741,0.028802283,0.028741527
Man(ID:13),0.027939439,0.028234836,0.028337816,0.028203582,0.028378796,0.028301258,0.028207837,0.028243845,0.028279608,0.028372362,0.02825296,0.028420798,0.02830251,0.028373908,0.02846881,0.028415062,0.028354406,0.028361622,0.02832646,0.02919889,0.02879991,0.028857742,0.028647568,0.028682873,0.028692678,0.02893775,0.028626386,0.029137578,0.029000621,0.02901776,0.029033836,0.028973345,0.029075444,0.028792528,0.028749188
GlcNAc(ID:14),0.027923664,0.028232511,0.028331436,0.028202077,0.028377853,0.028300371,0.028204538,0.028238319,0.02826664,0.028373295,0.028260907,0.028428175,0.02831038,0.028359111,0.028468547,0.028416887,0.028356554,0.028354432,0.028328482,0.029222175,0.02879525,0.028852602,0.028661333,0.028660988,0.028688246,0.028928075,0.028630648,0.029170007,0.029025655,0.029012676,0.029051404,0.028971968,0.029082011,0.028783884,0.02872888
Fuc(ID:15),0.027933288,0.028246246,0.028336376,0.028208597,0.02837643,0.028295033,0.02821569,0.028253395,0.028281735,0.028370554,0.028263828,0.028422585,0.028301995,0.028354011,0.02846619,0.028422132,0.028354678,0.028354775,0.02833307,0.02921643,0.028806215,0.02885349,0.028671835,0.028679412,0.028711077,0.028908081,0.028642982,0.029161692,0.028987465,0.028987005,0.02901666,0.028955348,0.02907744,0.028794117,0.028740147
GlcNAc(ID:16),0.027944217,0.028248083,0.028331831,0.028202645,0.028375812,0.028290953,0.028204951,0.02824347,0.028275426,0.02837392,0.028264811,0.028423252,0.028316036,0.02836202,0.028468281,0.028414203,0.028352907,0.02834781,0.028325478,0.029211733,0.028781684,0.028854521,0.028653635,0.028675653,0.02870075,0.028927319,0.028643288,0.029162444,0.029008612,0.0290186,0.029032845,0.028962241,0.029075786,0.028791348,0.028733434
a2-3(0->1),0.027960874,0.028223757,0.028340276,0.028235454,0.028385112,0.028314196,0.028233409,0.028287726,0.02828042,0.028383285,0.028276686,0.028437844,0.028335355,0.028396035,0.02846983,0.028420806,0.028385721,0.028342664,0.028343957,0.029145848,0.028774153,0.028801449,0.028594447,0.02871582,0.028722174,0.02889166,0.028589714,0.02914524,0.02894999,0.02901142,0.029011916,0.028940521,0.029109687,0.02880583,0.028736714
b1-4(1->2),0.027940668,0.02823644,0.028310545,0.028207265,0.028384417,0.028305383,0.028230295,0.028261803,0.028285313,0.028390722,0.028270563,0.02841565,0.02832424,0.028378086,0.028451,0.028413177,0.0283482,0.028350288,0.02832838,0.029137667,0.028807376,0.028849695,0.028666975,0.02869239,0.02873023,0.028951498,0.028623026,0.029145652,0.02894137,0.028991628,0.029014248,0.029003054,0.029064447,0.028779734,0.028768573
b1-2(2->6),0.027976144,0.028240897,0.028345566,0.028235577,0.028381415,0.028338078,0.028248265,0.028272483,0.028312046,0.028419536,0.028297793,0.028454822,0.028342035,0.028410593,0.028487112,0.028430574,0.028356884,0.02837243,0.028355088,0.029114606,0.028730534,0.028825402,0.028615449,0.028631076,0.028685212,0.028936477,0.028606178,0.029100338,0.028975956,0.028944727,0.029015083,0.02899902,0.029027242,0.028756421,0.028758936
a2-3(3->4),0.027960315,0.028269516,0.02835051,0.028209804,0.028376615,0.028302465,0.028213462,0.028256528,0.028280564,0.028369224,0.028258178,0.028425075,0.02830904,0.028381962,0.028453132,0.028415618,0.028360073,0.028341297,0.028331757,0.029186288,0.028798103,0.028839294,0.02864202,0.028693639,0.02871555,0.028917026,0.028603522,0.029155452,0.02897007,0.028966974,0.02901839,0.028953806,0.029090038,0.028820213,0.028764479
b1-4(4->5),0.027966918,0.028253762,0.02830197,0.028235376,0.028386816,0.02829309,0.028211318,0.028236048,0.028283074,0.028377611,0.02828231,0.028410882,0.028313318,0.028347312,0.028452363,0.028385052,0.02834758,0.028357549,0.028328983,0.02916864,0.028857946,0.028833758,0.028641373,0.028686559,0.028714811,0.02894041,0.028644955,0.029173305,0.02892166,0.028981075,0.029044168,0.028969843,0.029063212,0.02881616,0.028770803
b1-4(5->6),0.027954936,0.02828386,0.028298702,0.028216682,0.028366331,0.028299153,0.028209459,0.028248172,0.028276604,0.02840115,0.028267343,0.02840947,0.028308313,0.028363518,0.028446488,0.028406264,0.028340686,0.028332751,0.0283352,0.029118694,0.028832512,0.028853273,0.028624829,0.028687354,0.02876649,0.028896233,0.028650124,0.02914755,0.02892879,0.028999263,0.029002316,0.028999273,0.029089607,0.02884031,0.028798291
a1-3(6->13),0.027950237,0.028248856,0.028336342,0.028216284,0.028372768,0.028322132,0.028231343,0.028252417,0.028274383,0.028398661,0.02828634,0.028413715,0.02832688,0.028387047,0.02848535,0.028416416,0.02835773,0.028347628,0.02833173,0.029151829,0.028778158,0.028836474,0.028642403,0.02866282,0.02867807,0.028900087,0.028636232,0.029120756,0.02899649,0.028963216,0.02900897,0.028986309,0.02907715,0.028802373,0.028802406
a2-3(7->8),0.027955435,0.028253391,0.028343432,0.028213287,0.028372407,0.028299876,0.02822979,0.028257335,0.028269345,0.028380696,0.028280213,0.028412456,0.028318617,0.028363328,0.028443838,0.02841001,0.028350718,0.02834953,0.028322669,0.02920306,0.028791018,0.028839152,0.028667739,0.02871304,0.02871936,0.028906155,0.028642189,0.029177917,0.028966567,0.028988378,0.02900995,0.028934574,0.02909677,0.028780457,0.028737288
b1-4(8->9),0.027958494,0.028233917,0.028310474,0.02821543,0.028372485,0.028294936,0.028224539,0.028248556,0.028273012,0.028376821,0.028284578,0.028405847,0.028325671,0.028374385,0.028448524,0.028400132,0.028353093,0.028351083,0.028328007,0.029140377,0.02879793,0.028865162,0.028617028,0.028693687,0.028720936,0.028947504,0.028607737,0.029156335,0.02896831,0.029001158,0.02903258,0.02897823,0.029080054,0.028821189,0.028791813
b1-2(9->12),0.027939938,0.028251009,0.02833584,0.028243368,0.028390588,0.028312903,0.028225467,0.028266588,0.028294865,0.02839549,0.028285887,0.028442286,0.028333059,0.028382637,0.028469468,0.028419599,0.02836929,0.028360825,0.028338343,0.029151045,0.028788596,0.028823346,0.028590586,0.028679306,0.028697005,0.028935224,0.028605334,0.029134322,0.028973598,0.02898842,0.029024357,0.028960004,0.029063608,0.028793328,0.028734472
b1-4(10->11),0.027917834,0.028227411,0.028291132,0.028213374,0.028369237,0.02829884,0.028211074,0.028230205,0.028277196,0.028384365,0.028257592,0.028407581,0.028318707,0.028347008,0.028456124,0.028403778,0.028342454,0.028335843,0.028302927,0.02916241,0.028836377,0.028858913,0.02867961,0.028676858,0.028705668,0.02895418,0.028644228,0.029145187,0.028987005,0.02898316,0.02903999,0.029022174,0.029084355,0.028817613,0.028809598
