,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
[GRAPH_TOKEN],0.010926289,0.011613409,0.037894998,0.01250275,0.016180858,0.020199062,0.015078944,0.0190995,0.014297093,0.019021155,0.04132856,0.015386995,0.015292482,0.017083274,0.03276275,0.010116048,0.015995461,0.009052836,0.020636665,0.015428299,0.006952458,0.027967295,0.010233965,0.034173638,0.056628093,0.07134563,0.019580022,0.015637252,0.024608545,0.03779064,0.011857295,0.08404404,0.012188071,0.034930617,0.01080498,0.056777097,0.028749779,0.017432144,0.015641931,0.023988316,0.028770782
[NULL_TOKEN],0.011071244,0.011754935,0.03914399,0.012489935,0.015957275,0.020429522,0.015292084,0.019187152,0.013934389,0.01905164,0.042781834,0.015207976,0.01581578,0.017051034,0.03355971,0.010240758,0.015758492,0.008848582,0.020679021,0.015377267,0.0069879266,0.02816863,0.010108965,0.033635296,0.054595873,0.07231143,0.019326009,0.01566712,0.02428152,0.03758252,0.011853566,0.0836388,0.0123531,0.033893026,0.01079432,0.056682494,0.029147714,0.017649552,0.01563304,0.023533046,0.028523449
Gal(ID:0),0.011962214,0.012568005,0.028247476,0.006645769,0.018497583,0.010975142,0.01235519,0.021147218,0.008088168,0.019124385,0.026529815,0.023836944,0.0155000305,0.021826856,0.020076867,0.005833316,0.01577373,0.0055159433,0.01828057,0.013551223,0.004993771,0.015608085,0.01155449,0.028102158,0.08235485,0.08244802,0.0275096,0.019463267,0.019358346,0.03383949,0.016607575,0.1493213,0.015341186,0.03130987,0.011246217,0.03902333,0.032203745,0.011253895,0.016098741,0.02251796,0.013507641
Fuc(ID:1),0.017742325,0.018773146,0.049229745,0.014586892,0.024392111,0.02177471,0.017218724,0.015254499,0.013079554,0.019630726,0.045657594,0.021673422,0.026207263,0.020009678,0.03756527,0.012164449,0.015356543,0.011531438,0.01014903,0.011042664,0.011518255,0.027767934,0.023371395,0.0482883,0.057649385,0.046331942,0.020901408,0.013947872,0.0336088,0.021818772,0.014445024,0.051627714,0.0166592,0.02178824,0.013432898,0.045161232,0.030570377,0.016912898,0.011465875,0.025090996,0.02460172
GlcNAc(ID:2),0.020027537,0.020416038,0.034304485,0.015558966,0.018492993,0.030244764,0.019044563,0.0136726685,0.011641266,0.015418288,0.036533218,0.011975906,0.019286338,0.015580938,0.030154416,0.017438117,0.014204634,0.009625547,0.011847116,0.011430423,0.013711207,0.029281663,0.0084474245,0.019923488,0.04463179,0.05360282,0.010753809,0.009549349,0.022129385,0.06869921,0.011935838,0.0992281,0.0101652695,0.024047466,0.008895243,0.048180923,0.055500723,0.020737682,0.009510814,0.020379733,0.033789862
Gal(ID:3),0.007378839,0.007677127,0.025144028,0.011198746,0.010860801,0.00726659,0.0081275245,0.018576398,0.0103708375,0.018665396,0.02373143,0.017004399,0.010394071,0.014778752,0.013974522,0.010303263,0.014548145,0.009862457,0.023607697,0.013447259,0.009696165,0.014384971,0.0080994405,0.031986643,0.0875574,0.1233286,0.016980994,0.014710109,0.030505467,0.030752439,0.013426172,0.10601962,0.0119703505,0.04935354,0.011643428,0.03501733,0.056707066,0.016769579,0.015329407,0.020510437,0.018332569
Gal(ID:4),0.010037316,0.010321744,0.026400978,0.010017449,0.011975641,0.012477922,0.011767452,0.019899977,0.014304971,0.020418076,0.02776559,0.02017793,0.012768861,0.016990593,0.020340264,0.010366054,0.015885856,0.011747604,0.031853788,0.01559586,0.010567655,0.014030717,0.0070276535,0.036715064,0.069156766,0.068393454,0.016248144,0.016117595,0.020919029,0.031149887,0.0140137235,0.14302668,0.0121675385,0.054605663,0.0111532025,0.0343159,0.04808067,0.014572043,0.01438738,0.01603172,0.016205579
GlcNAc(ID:5),0.01931781,0.019050285,0.029136796,0.011311453,0.0140177775,0.025850581,0.026463524,0.0123586655,0.015427827,0.012645064,0.029901687,0.016630739,0.021007365,0.015251977,0.026858736,0.011838643,0.018711478,0.012561701,0.02338668,0.015245225,0.009521915,0.030419562,0.005093837,0.013008513,0.05204129,0.04840615,0.0075064,0.016755253,0.015541817,0.06617841,0.008487635,0.12537064,0.007878076,0.030909136,0.008223971,0.050049223,0.06555338,0.018247034,0.010603869,0.017512375,0.015717505
Man(ID:6),0.0114636235,0.0116784135,0.027689043,0.015175132,0.015172282,0.011706058,0.011217695,0.017573986,0.010415463,0.022006504,0.030379154,0.020087542,0.012159295,0.015454276,0.022523727,0.01451231,0.01733718,0.010722217,0.0108286645,0.019675015,0.013107681,0.016057419,0.010491891,0.028059138,0.07727839,0.054862782,0.012680421,0.02916196,0.05056769,0.041324627,0.010528246,0.03623259,0.009981098,0.08002768,0.010974428,0.040212326,0.06738364,0.026760347,0.012463309,0.019346042,0.024720702
GlcNAc(ID:7),0.017473603,0.017565109,0.03193284,0.00920821,0.013256217,0.01868372,0.023235578,0.01412281,0.009622836,0.014429766,0.0353433,0.012706094,0.018024364,0.013523006,0.028928243,0.008562651,0.01549625,0.0074656317,0.016489996,0.014052315,0.007880464,0.028265798,0.0062961006,0.017510211,0.04953135,0.045505814,0.011373152,0.01355866,0.020066291,0.054985378,0.0074507277,0.1814839,0.0076850997,0.02212949,0.0073932493,0.04957252,0.057058632,0.019861596,0.009634996,0.021156847,0.021477198
Gal(ID:8),0.010075962,0.010494346,0.024375571,0.0055628866,0.0172796,0.010495877,0.01271423,0.019682875,0.008397184,0.016528843,0.024592087,0.023418538,0.014130427,0.02017049,0.01931371,0.005115578,0.015377356,0.006018441,0.020803906,0.014375431,0.0046192626,0.01519086,0.010147694,0.029929455,0.07439348,0.082280345,0.024011835,0.01808483,0.02137661,0.038354784,0.014445336,0.1705949,0.01386418,0.03393482,0.010987105,0.04169178,0.033566,0.013285744,0.016387664,0.020999737,0.012930249
GlcNAc(ID:9),0.01413748,0.014217133,0.040955804,0.014259635,0.013420896,0.02168468,0.01599821,0.012475494,0.009431852,0.014317551,0.044528734,0.0114462655,0.017993014,0.013276319,0.03237321,0.012881571,0.013707617,0.007899703,0.011727443,0.0124296695,0.00870553,0.01770983,0.008695455,0.03055396,0.038585708,0.06412964,0.011187338,0.008702813,0.029241938,0.04303771,0.0077416487,0.12996417,0.008476031,0.018094502,0.0071922527,0.06570156,0.077946275,0.021051379,0.010248929,0.015585822,0.028285231
Gal(ID:10),0.014948951,0.015553705,0.024827221,0.011550138,0.019572355,0.01098935,0.010976489,0.02264233,0.010559373,0.0241741,0.023288112,0.026849147,0.01203833,0.022969274,0.017936584,0.009982998,0.020673756,0.008798767,0.026827317,0.01638043,0.009782381,0.021584317,0.012850642,0.028446278,0.07740104,0.066822566,0.025800627,0.015831532,0.019303832,0.030287588,0.02062375,0.083877265,0.017864745,0.03883655,0.020049252,0.029971436,0.05080315,0.012271019,0.018315926,0.027789198,0.019948158
GlcNAc(ID:11),0.019377379,0.0192654,0.03037936,0.018891593,0.017249037,0.026049534,0.01870923,0.011396235,0.01457544,0.013249233,0.031821545,0.014036604,0.01857901,0.01503347,0.025619902,0.019761752,0.015735334,0.013473197,0.014024707,0.011017806,0.017905489,0.020637661,0.0061457427,0.018111814,0.04500081,0.059942685,0.007624092,0.009082999,0.026752941,0.055957988,0.0068297526,0.117369995,0.008245202,0.02220451,0.0068411897,0.05080098,0.08183431,0.02207675,0.0070689,0.017334996,0.023985418
Gal(ID:12),0.009186781,0.0095424075,0.026315954,0.0056994185,0.01508854,0.010042403,0.012125665,0.019781133,0.0087578995,0.016962757,0.026594121,0.021496112,0.013590464,0.017955057,0.019592404,0.0053349095,0.014105972,0.0063118613,0.024381066,0.013765875,0.0046965047,0.013972814,0.0084005715,0.03519351,0.087537296,0.08535921,0.019299384,0.01705056,0.02130537,0.034199484,0.013183662,0.1662553,0.011645435,0.038898807,0.009418081,0.041929103,0.037502684,0.012900492,0.01471021,0.017241772,0.01266896
Fuc(ID:13),0.01620654,0.017195726,0.045119017,0.014251271,0.023668107,0.020268634,0.017238317,0.015469212,0.0148779135,0.018755957,0.04270397,0.021443969,0.023626903,0.0201081,0.03488861,0.011697804,0.015433486,0.012140626,0.010694619,0.012314906,0.0105592925,0.025136884,0.02068402,0.049231187,0.05672233,0.055843815,0.01810639,0.013742391,0.036500785,0.025049815,0.013921639,0.054296486,0.016159682,0.023535112,0.013179394,0.04676144,0.032375045,0.018193737,0.010892328,0.025427943,0.025576606
GlcNAc(ID:14),0.01706709,0.016978137,0.03824978,0.020622661,0.016835473,0.028933998,0.020669367,0.012627377,0.014441542,0.01458044,0.04117488,0.01488072,0.02243322,0.015080014,0.030000245,0.020310247,0.017122047,0.013811182,0.016322553,0.014451473,0.016026106,0.018348638,0.007029588,0.023055673,0.04313086,0.05010595,0.009156247,0.0092639495,0.028089006,0.04828508,0.0075391117,0.09519032,0.0081023015,0.024119437,0.007122889,0.05232314,0.075067334,0.022018561,0.009384853,0.015554206,0.024494302
Man(ID:15),0.013626862,0.013900635,0.028506557,0.015714483,0.01585684,0.017035676,0.015926518,0.014848626,0.015747027,0.019153645,0.031648953,0.018553104,0.014130166,0.014698621,0.02690024,0.016981987,0.01721709,0.015195689,0.012816869,0.018133346,0.016626343,0.016854476,0.012549531,0.025362192,0.06607048,0.04156865,0.012785332,0.023601184,0.048059776,0.049476117,0.0115705095,0.025293157,0.011049968,0.08136986,0.011919533,0.036544517,0.06824487,0.027839674,0.013103181,0.018863041,0.024654694
Man(ID:16),0.013199878,0.013507082,0.025988858,0.014065827,0.013497084,0.01669117,0.015607135,0.020946603,0.017018633,0.024536978,0.031562585,0.021892471,0.014338279,0.016717909,0.025973633,0.015428077,0.019647818,0.01610983,0.030100005,0.022040306,0.013717355,0.0149283,0.009438636,0.025366941,0.06906387,0.03085448,0.016314045,0.031383835,0.03214167,0.033416286,0.013242377,0.076971725,0.012659132,0.06017812,0.012374911,0.03202734,0.055139355,0.022340573,0.017833207,0.013536276,0.0182014
