GlyTouCan ID,IUPAC Condensed,Subsumption Level,Monoisotopic Mass
G00035KS,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)][Gal(b1-4)Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1364.5
G00049HA,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GalNAc(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2923.07
G00068IL,Glc(b1-3)[Glc(b1-3)[Xyl(b1-6)]Glc(b1-6)Glc(b1-6)]Glc,Linkage-defined saccharide,960.32
G00069YC,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,2484.92
G00030MO_1,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1316.49
G00030MO_3,GlcNAc(b1-4)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1316.49
G00030MO_4,GlcNAc(b1-4)Man(a1-3)[GlcNAc(b1-4)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1316.49
G00070MO,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,707.25
G00071MO,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc,Linkage-defined saccharide,707.25
G00072MO,GalNAc(b1-3)Gal(b1-4)Gal(b1-4)Glc,Linkage-defined saccharide,707.25
G00009BX,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,Linkage-defined saccharide,894.33
G00045MO,Man(a1-2)Man(a1-6)Man(a1-4)GlcN,Linkage-defined saccharide,665.24
G00141ZD,Glc(a1-4)[Gal(a1-6)]Glc,Linkage-defined saccharide,504.17
G00142DY,Man(a1-2)Man(a1-2)[Man(a1-2)[Man(a1-2)[Man(a1-6)]Man(a1-6)]Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,2327.78
G00196CO,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1973.73
G00237TF,GlcNAc(b1-3)Rha(a1-2)Rha,Linkage-defined saccharide,513.21
G00212ZT,Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,1355.46
G00212RH,Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2637.94
G00272PZ,Man(a1-2)Man(a1-3)Man(b1-4)Glc,Linkage-defined saccharide,666.22
G00284YX,Man(a1-2)Man(a1-4)Gal,Linkage-defined saccharide,504.17
G00323MK,Rha(a1-2)[Glc(b1-2)Rha(a1-4)Rha(a1-4)]Glc,Linkage-defined saccharide,780.29
G00340NB,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man,Linkage-defined saccharide,1314.43
G00296SE,Glc(b1-2)[Glc(b1-2)[Glc(a1-4)GlcA(b1-3)]Gal(a1-3)]Man(a1-3)Glc,Linkage-defined saccharide,1166.36
G00298HY,GlcNAc(b1-2)[GlcNAc(b1-6)]Man,Linkage-defined saccharide,586.22
G00369RM,GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2704.0
G00372ZO,Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,789.3
G00402KT,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,1875.69
G00406OJ,Xyl(b1-4)Fuc(a1-3)[Xyl(b1-4)]Glc,Linkage-defined saccharide,590.21
G00423BF,GlcNAc(b1-2)Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)ManNAc,Linkage-defined saccharide,1245.45
G00349CA,GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2005.72
